[2025-03-30 15:10:53] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 15:10:53] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 15:10:53] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 15:10:53] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:10:53] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:10:53] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 15:10:53] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 15:10:53] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 15:10:53] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 15:10:53] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 15:10:53] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 15:10:53] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 15:10:54] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 15:10:54] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 15:10:54] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 15:10:54] [INFO] [Component] Setting d0d3273f-3330-4af8-ae8e-17ad9e89fdc8 on to 6e9b1c6f-73db-4e7a-a55c-fe8d869f4eaa.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit enemy:Sofegr into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting 80386d05-b1a4-4fdb-b813-a8c17604dd68 on to 360fa7fe-66b3-4143-8c5d-e10d6d93e5bb.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit enemy:Poqe into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting ef69df3f-9933-4e53-ad7f-640291f2dca3 on to eb29cf63-ae43-45bb-8779-3e67c4ecf91c.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit enemy:Poek into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting dd890d66-72bf-40c2-9852-687d63eabfaf on to c65c4902-1548-415c-be4d-76c0b0ebe5e8.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit enemy:Oyraiy into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting 6465afae-b634-4f9e-91db-f7397b42088e on to 6b5ad6bf-0773-47e3-828e-9364e1d000e2.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit user:Disww into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting 397ffd83-23a1-4da0-a258-db739cbdf430 on to 56632dd4-0560-41bf-b265-f1fd65c29e8d.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit user:Lommti into queue
[2025-03-30 15:10:54] [INFO] [Component] Setting f2ca78fe-bf3c-4ee8-95a5-5da712d3b05f on to 4d71067e-db08-44c8-8c4d-7d3a57a67c5a.
[2025-03-30 15:10:54] [INFO] [SpeedQueue] Added unit user:Wewo into queue
[2025-03-30 15:10:54] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 15:10:54] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 15:10:54] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:10:54] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 15:10:54] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 15:10:54] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 15:10:54] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 15:10:55] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:10:55] [INFO] [InputHandler] Gliding main.camera camera to new tile 9eaf24d6-f820-4603-98c3-d6248d852337
[2025-03-30 15:10:55] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 15:10:55] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 15:10:55] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 15:10:55] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 15:10:55] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 15:10:55] [INFO] [VisualsSystem] Finished creating blurred background after 0.29182565212249756 seconds
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,436
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,435
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,435
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,434
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,433
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,434
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,434
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,434
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,435
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,435
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,435
[2025-03-30 15:10:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,436
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,436
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,437
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,438
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,441
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,442
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,445
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,447
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,451
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,454
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,456
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,460
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,463
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,465
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,468
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,470
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,473
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,474
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,475
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,476
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,477
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,477
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,478
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,479
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,479
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,480
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,480
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,481
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,481
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,482
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,483
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,483
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,484
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,483
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,482
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,481
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,480
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,480
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,479
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,478
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,478
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,477
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,477
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,476
[2025-03-30 15:10:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,475
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,475
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,474
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,474
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,473
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,473
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,473
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,473
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,470
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,465
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,458
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,440
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,420
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,394
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,380
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,324
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,309
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,280
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 511,270
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 468,251
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 429,236
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 422,232
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 402,225
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 388,219
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 380,215
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 375,213
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 372,211
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,210
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,210
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 369,208
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,208
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 375,209
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 382,214
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 397,222
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 421,237
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 444,252
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 472,271
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 501,295
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,320
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,348
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,374
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,384
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,406
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,421
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,426
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,438
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,444
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,449
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,452
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,454
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,454
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,455
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,455
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,455
[2025-03-30 15:10:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,455
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,453
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,445
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,433
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,421
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,407
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,385
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,337
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,320
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 388,283
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 333,251
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 263,213
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 196,171
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 173,156
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 133,129
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 97,106
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 70,88
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 65,85
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 51,75
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 42,69
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 36,65
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 32,62
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 31,61
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 30,60
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 29,60
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 26,58
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 24,57
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 22,56
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 21,55
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 20,54
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 19,53
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 18,52
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 17,52
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,51
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,50
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,49
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,48
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,47
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,46
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,44
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,43
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,42
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 16,40
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 15,39
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 14,37
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 14,35
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 13,34
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 13,32
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 12,31
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 11,29
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 11,28
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 10,27
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 9,25
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 8,24
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 8,23
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 7,22
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 6,21
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 6,20
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 5,20
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 5,19
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 5,18
[2025-03-30 15:10:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 4,18
