[2025-03-30 15:16:31] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 15:16:31] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 15:16:31] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 15:16:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:16:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:16:31] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 15:16:31] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 15:16:31] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 15:16:31] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 15:16:31] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 15:16:31] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 15:16:31] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 15:16:32] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 15:16:32] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 15:16:32] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 15:16:32] [INFO] [Component] Setting 3afa16f8-b2d9-451b-9227-aba352afc93f on to 36d71daa-777c-475b-be52-cef5036bb976.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit enemy:Eynao into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting af1471b5-464e-4899-8bdb-4529f83ae042 on to aa451be9-b6a0-4c32-be85-6eb2ea82c57c.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit enemy:Siayk into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting 21fe414e-7bae-41aa-a8c4-114bea9bfa58 on to 689470c7-2179-43cd-afbb-beb426720e4c.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit enemy:Fyjgb into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting 14f09b6a-26e1-4c86-a442-82cac914e73b on to ab0463a7-9a89-4b41-86a1-63f082244b08.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit user:Kupuib into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting fc768b20-a2e1-4020-8de9-59abeea4dfb7 on to f5d8b652-7e7c-4e3f-9c4f-f0b0a619da81.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit user:Qyolj into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting 3d38da3a-3fc1-4fbd-8b39-c016275c9ef1 on to e93382f5-b05c-498c-981e-c63ef8dfed3d.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit user:Suwy into queue
[2025-03-30 15:16:32] [INFO] [Component] Setting e21d6ec0-b12f-4b5c-8020-6d88760a74a5 on to c9ff6304-d689-49f5-bedc-cdd112ea9dd4.
[2025-03-30 15:16:32] [INFO] [SpeedQueue] Added unit user:Xavul into queue
[2025-03-30 15:16:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 15:16:32] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 15:16:32] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:16:32] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 15:16:32] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 15:16:32] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 15:16:32] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 15:16:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:16:33] [INFO] [InputHandler] Gliding main.camera camera to new tile 3652ab69-a9ee-4a64-bbec-5ca86463d22b
[2025-03-30 15:16:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 15:16:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 15:16:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 15:16:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 15:16:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 15:16:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.2925321161746979 seconds
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,111
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,122
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,135
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,146
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,150
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,158
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,164
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,169
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,172
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,176
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,178
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,180
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,182
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,184
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,185
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,187
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,189
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,190
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,191
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,192
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,193
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,194
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,194
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,195
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,196
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,196
[2025-03-30 15:16:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,197
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,197
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,197
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,198
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,198
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,198
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,199
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,199
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,200
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,201
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,203
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,204
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,206
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,207
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,209
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,211
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,213
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,215
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,218
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,220
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,222
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,224
[2025-03-30 15:16:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,227
