[2025-03-30 15:38:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 15:38:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 15:38:26] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 15:38:26] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 15:38:26] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 15:38:26] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 15:38:26] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 15:38:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 15:38:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 15:38:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 15:38:26] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 15:38:26] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 15:38:26] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 15:38:26] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 15:38:26] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 15:38:26] [INFO] [Component] Setting 925a9f02-2656-44c7-983b-6edc4927b0d0 on to 509b220e-4835-43c7-b8ba-9282d52947f6.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit enemy:Jouepo into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting a87d3d8e-9371-478f-9cf8-f8f78a47b708 on to 83635f3f-e118-4593-959e-db7df42b2e74.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit enemy:Eegra into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting 86110b4f-a4fb-4848-83e6-a0ce253537e9 on to 0ded5a1d-ff98-4c52-a0f4-116718def226.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit enemy:Zasb into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting e839dda9-8f33-4fb9-9dd7-62c75ba71826 on to 27443227-849f-42ad-89c8-8931f4d0e801.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit enemy:Dizo into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting 7eb7bfec-bc95-4685-9cc5-a0e6cc2ec6bd on to 769ce8da-617e-4d13-8846-36db7cb3fb3c.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit user:Uece into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting 669d3f6f-a925-423c-94bd-37d6d40f9d5e on to bc9d8813-2b5c-4f1c-9bcb-612f9d333c39.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit user:Zytiyv into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting e1370807-3718-43e7-b9b7-f34a3374a646 on to 36d5c7a1-34de-48ee-8238-56f4bc0ac01b.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit user:Cirezc into queue
[2025-03-30 15:38:26] [INFO] [Component] Setting f51e20d5-a87b-46a6-a513-22b964671fd8 on to cb5a24fa-7704-4a7a-a311-d5c1c9c980f9.
[2025-03-30 15:38:26] [INFO] [SpeedQueue] Added unit user:Wuym into queue
[2025-03-30 15:38:26] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 15:38:27] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 15:38:27] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:38:27] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 15:38:27] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 15:38:27] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 15:38:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 15:38:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 15:38:27] [INFO] [InputHandler] Gliding main.camera camera to new tile 86aad6e2-65d8-48c2-82dc-e162906b9f46
[2025-03-30 15:38:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 15:38:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 15:38:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 15:38:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 15:38:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 15:38:28] [INFO] [VisualsSystem] Finished creating blurred background after 0.3000752925872803 seconds
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,393
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,393
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,393
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,393
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,393
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,395
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,396
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,396
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,398
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,399
[2025-03-30 15:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,399
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,399
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,399
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,399
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,400
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,400
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,401
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,402
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,404
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,406
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,407
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,408
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,409
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,411
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,412
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,414
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,415
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,418
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,419
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,421
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,424
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,426
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,428
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,430
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,433
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,435
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,436
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,438
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,440
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,441
[2025-03-30 15:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,443
