[2025-03-30 16:42:07] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 16:42:07] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 16:42:07] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 16:42:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 16:42:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 16:42:07] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 16:42:07] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 16:42:07] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 16:42:07] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 16:42:07] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 16:42:07] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 16:42:07] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 16:42:07] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 16:42:07] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 16:42:07] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 16:42:07] [INFO] [Component] Setting 8b9f9fd4-b110-4932-ac8f-0bf045309849 on to dae94799-e620-45f1-a2af-1215ea1f3374.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit enemy:Zeqeoo into queue
[2025-03-30 16:42:07] [INFO] [Component] Setting 750e5331-9ced-41c0-804b-cb8cdfd8cb95 on to cea958a2-1a93-4d93-ab47-9f39b7e09973.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit enemy:Ziqaa into queue
[2025-03-30 16:42:07] [INFO] [Component] Setting da48600c-e76d-4450-b789-df6a11c8ddf2 on to 0442998f-2c70-4854-b1be-fd2063346bb8.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit enemy:Oeqe into queue
[2025-03-30 16:42:07] [INFO] [Component] Setting 201eadd9-d27c-4435-b48b-041cb8200369 on to 9b67ee35-1e00-4dbc-9ee7-66e717a721d9.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit user:Loqp into queue
[2025-03-30 16:42:07] [INFO] [Component] Setting 9f371cdd-eef0-4588-bc71-4fb66451ad21 on to 2e2ca8e0-99cb-4b1c-8738-8205a3f2771b.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit user:Sigz into queue
[2025-03-30 16:42:07] [INFO] [Component] Setting 5a152526-1d2a-47a8-8ced-c6fe9bb16b56 on to b79643e2-5bbe-40dd-bd4a-4c22ab4ac513.
[2025-03-30 16:42:07] [INFO] [SpeedQueue] Added unit user:Xymo into queue
[2025-03-30 16:42:07] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 16:42:08] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 16:42:08] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 16:42:08] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 16:42:08] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 16:42:08] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 16:42:08] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 16:42:08] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 16:42:08] [INFO] [InputHandler] Gliding main.camera camera to new tile c6f1f4bb-9213-4f05-803b-7ac548115494
[2025-03-30 16:42:08] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 16:42:08] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 16:42:08] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 16:42:08] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 16:42:08] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 16:42:09] [INFO] [VisualsSystem] Finished creating blurred background after 0.2918424904346466 seconds
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,264
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,286
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,312
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,322
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,344
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,362
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,397
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,403
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,432
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,438
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,451
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,461
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,469
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,474
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,478
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,479
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,480
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,480
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,480
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,479
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,476
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,472
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,465
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,461
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,457
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,452
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,449
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,444
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,440
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,437
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,434
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,431
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,429
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,425
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,423
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,420
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,418
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,415
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,412
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,407
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,405
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,398
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,391
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,384
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,381
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,369
[2025-03-30 16:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,366
