[2025-03-30 17:08:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 17:08:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 17:08:05] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 17:08:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 17:08:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 17:08:05] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 17:08:05] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 17:08:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 17:08:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 17:08:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 17:08:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 17:08:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 17:08:06] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 17:08:06] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 17:08:06] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 17:08:06] [INFO] [Component] Setting f6977f6b-4a3b-472d-bf74-c8182d84c412 on to 41697914-8795-418e-9cf6-6281a579ec9c.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit enemy:Buneg into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting c8f9c292-cf36-4e30-a27c-f50af067410b on to 732d834e-5d44-4d3d-bb26-88cf44f3bfc2.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit enemy:Uelt into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting 88e6334a-a1e0-4c5a-ab5a-fc33b5aec64f on to e6f93231-8aff-403d-bc21-61e6f74ca036.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit enemy:Koizy into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting b4baa72d-268b-4684-84df-4499da376930 on to da38aa82-f170-403d-86f6-442c439db799.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit enemy:Geedux into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting b361c546-e2b5-44c2-aeab-d3017456f498 on to 46d800eb-4635-4b50-b570-1b16a4fd3f6c.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit user:Yeso into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting ee7a4f5c-3e10-4f96-9586-9d50ae1ac70c on to 93f87ed5-5952-4f69-a46e-16f277b02e86.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit user:Bynfin into queue
[2025-03-30 17:08:06] [INFO] [Component] Setting a5a2d3e9-57af-4422-9b64-1c381d135159 on to 27a6a626-50b2-4bce-b803-d74a54c30c3b.
[2025-03-30 17:08:06] [INFO] [SpeedQueue] Added unit user:Tiiy into queue
[2025-03-30 17:08:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 17:08:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 17:08:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 17:08:06] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 17:08:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 17:08:06] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 17:08:06] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 17:08:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 17:08:07] [INFO] [InputHandler] Gliding main.camera camera to new tile c84ccbee-9b94-440d-8a6e-859d6164e44d
[2025-03-30 17:08:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 17:08:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 17:08:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 17:08:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 17:08:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 17:08:07] [INFO] [VisualsSystem] Finished creating blurred background after 0.3022695481777191 seconds
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,234
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,242
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,246
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,253
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,261
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,264
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,269
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,271
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,273
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,274
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,275
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,274
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,270
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,265
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,262
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,258
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,250
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,248
[2025-03-30 17:08:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,244
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,111
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,116
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,126
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,135
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,141
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,149
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,150
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,156
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,161
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,163
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,165
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,169
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,170
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,170
[2025-03-30 17:08:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,171
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,171
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,170
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,164
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,159
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,152
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,148
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,141
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,138
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,133
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,131
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,131
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,129
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 472,127
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,127
[2025-03-30 17:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 432,127
