[2025-03-30 19:05:27] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 19:05:27] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 19:05:27] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 19:05:27] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:05:27] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:05:27] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 19:05:27] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 19:05:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 19:05:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 19:05:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 19:05:27] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 19:05:27] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 19:05:27] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 19:05:27] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 19:05:27] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 19:05:27] [INFO] [Component] Setting c38cdd30-4f2d-4f81-accc-ea0c741f715c on to be82aad9-8d29-434e-8ec2-1e2162a11ca9.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit enemy:Jaly into queue
[2025-03-30 19:05:27] [INFO] [Component] Setting 09de3f1d-883f-41a4-87b8-d4455ef88fd0 on to b3470484-5b10-4059-8690-8578c8b2ae11.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit enemy:Uiuinp into queue
[2025-03-30 19:05:27] [INFO] [Component] Setting ce7ebd2e-1265-4260-83e6-58ecbbd2ef21 on to 8495be5f-7c50-423b-94a0-36e9b69e201e.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit enemy:Vyfaaa into queue
[2025-03-30 19:05:27] [INFO] [Component] Setting 4b704246-475b-4dc7-8810-47ee9364d51e on to b54710f1-3175-42d2-8df9-157b94aff09c.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit user:Lyhnuh into queue
[2025-03-30 19:05:27] [INFO] [Component] Setting ca7a51b0-81d8-475a-9efa-906f38f5992f on to dc5970f9-81ad-451e-b415-c9eb83a88a3a.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit user:Sofo into queue
[2025-03-30 19:05:27] [INFO] [Component] Setting a5ab7651-d76e-474c-9ad3-f379cf816124 on to f2257ee9-8d56-4aa2-94d4-6cf0493e9ef7.
[2025-03-30 19:05:27] [INFO] [SpeedQueue] Added unit user:Fipugu into queue
[2025-03-30 19:05:27] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 19:05:28] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 19:05:28] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:05:28] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 19:05:28] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 19:05:28] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 19:05:28] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 19:05:28] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:05:28] [INFO] [InputHandler] Gliding main.camera camera to new tile d119ce35-1766-4ab7-9e7d-866a8db7cf4c
[2025-03-30 19:05:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 19:05:28] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 19:05:28] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 19:05:28] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 19:05:28] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 19:05:29] [INFO] [VisualsSystem] Finished creating blurred background after 0.2918171286582947 seconds
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,300
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,307
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,314
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,320
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,327
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,333
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,335
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,339
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,344
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,350
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,353
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,356
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,359
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,362
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,363
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,368
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,370
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,374
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,375
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,379
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,382
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,385
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,388
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,391
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,397
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,400
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,403
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,408
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,410
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,413
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,415
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,417
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,419
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,420
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,421
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,422
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,423
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,423
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,424
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,424
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,424
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,424
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,425
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,425
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,426
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,427
[2025-03-30 19:05:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,427
