[2025-03-30 19:24:56] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 19:24:57] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 19:24:57] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 19:24:57] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:24:57] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:24:57] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 19:24:57] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 19:24:57] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 19:24:57] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 19:24:57] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 19:24:57] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 19:24:57] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 19:24:57] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 19:24:57] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 19:24:57] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 19:24:57] [INFO] [Component] Setting 3ac38c46-da3a-48df-b410-f655232bd9e9 on to 0442b13b-2725-4a87-9917-bb4317661b1e.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit enemy:Teczx into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 2129098f-00d0-41bf-a6d7-f43a256b4644 on to b06481c0-5199-4b2b-9066-0d00a31707e0.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit enemy:Lixs into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 26220fc2-adb4-4966-968f-74c185aec557 on to 4dc8f10c-51de-40c6-80fa-b78750e9196f.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit enemy:Zipne into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting d764d193-a8e1-48c6-acca-84f7432d033a on to adca0a2a-69da-4420-8f52-feeb5c7f5db5.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit enemy:Toqz into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 63af8caa-306e-487c-914c-054884b44665 on to 6665a54d-ee26-4bd2-b94d-58ffb3f01fcd.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit user:Yowuia into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 97a5693b-96ed-4fbc-a7fb-ba6530d54625 on to 4435ca02-fd98-4a75-ac2f-b6c99510e40c.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit user:Aihst into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 21b2186c-884c-4ff3-a04f-6c185e151f6b on to c8374072-aa9a-41e5-96cc-804b6db776dd.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit user:Sygloe into queue
[2025-03-30 19:24:57] [INFO] [Component] Setting 588208a4-19cc-4157-a752-c54a6ddf5005 on to 487776b6-f663-4b45-9a95-4b3067d6192d.
[2025-03-30 19:24:57] [INFO] [SpeedQueue] Added unit user:Oedji into queue
[2025-03-30 19:24:57] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 19:24:57] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 19:24:57] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:24:57] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 19:24:57] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 19:24:57] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 19:24:57] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 19:24:58] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:24:58] [INFO] [InputHandler] Gliding main.camera camera to new tile c8fee900-d642-4d8a-9d7f-97d196f98f66
[2025-03-30 19:24:58] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 19:24:58] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 19:24:58] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 19:24:58] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 19:24:58] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,374
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,375
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,376
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,377
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,378
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,379
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,379
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,380
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,381
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,382
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,383
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,384
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,385
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,386
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,388
[2025-03-30 19:24:58] [INFO] [VisualsSystem] Finished creating blurred background after 0.29444998502731323 seconds
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,390
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,392
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,394
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,396
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,398
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,402
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,404
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,406
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,409
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,410
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,412
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,414
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,416
[2025-03-30 19:24:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,417
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,419
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,420
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,422
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,423
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,425
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,426
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,428
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,430
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,431
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,431
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,432
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,433
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,433
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,432
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,431
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,429
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,427
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,425
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,422
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,419
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,414
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,411
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,406
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,401
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,396
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,392
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,387
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,382
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,377
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,374
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,371
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,368
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,367
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,365
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,364
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,363
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,363
[2025-03-30 19:24:59] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 19:24:59] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 19:24:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,431
[2025-03-30 19:25:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,431
[2025-03-30 19:25:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,431
[2025-03-30 19:25:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,431
[2025-03-30 19:25:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,431
[2025-03-30 19:25:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,431
