[2025-03-30 19:38:13] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 19:38:13] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 19:38:13] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 19:38:13] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 19:38:13] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 19:38:13] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 19:38:13] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 19:38:13] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 19:38:13] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 19:38:13] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 19:38:13] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 19:38:13] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 19:38:14] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 19:38:14] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 19:38:14] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 19:38:14] [INFO] [Component] Setting d9d05293-77cd-4176-a963-5575def09ffe on to 68552a0c-400a-4060-bde7-3bacd058c69f.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit enemy:Kocoy into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting 54064523-d589-4020-987d-4332da3e37cf on to 559393b3-1317-4cc6-9c8c-81f7803da5d1.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit enemy:Goxu into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting ab86941c-d04c-4a1c-a7f6-e389ee6d92ea on to 91548f16-874d-43d5-820d-ae48609a427f.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit enemy:Xyxy into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting ab1e3a75-507b-4be5-98a0-de6f6fa0cb01 on to 22f1e91e-c9cb-43b5-b87f-36279804f23c.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit enemy:Pivi into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting 2cb63bc1-10b0-4084-a39c-4ef298dcbbc9 on to b74cf33d-9b6c-4987-864f-cca8cfa56b4e.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit user:Mofiai into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting 92f905d5-22d7-432a-8c3d-7607cfe04cbe on to d1963e4f-8f35-443b-8650-0f2d98d5dadf.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit user:Jaja into queue
[2025-03-30 19:38:14] [INFO] [Component] Setting 65b31853-a9be-4268-89f2-732541a620a4 on to 4041a61f-58d6-4d4f-ac43-0091dec64736.
[2025-03-30 19:38:14] [INFO] [SpeedQueue] Added unit user:Yumy into queue
[2025-03-30 19:38:14] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 19:38:14] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 19:38:14] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:38:14] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 19:38:14] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 19:38:14] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 19:38:14] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 19:38:15] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 19:38:15] [INFO] [InputHandler] Gliding main.camera camera to new tile ba0e1f03-a065-4f65-af0b-cf1385b6e88b
[2025-03-30 19:38:15] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 19:38:15] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 19:38:15] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 19:38:15] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 19:38:15] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 19:38:15] [INFO] [VisualsSystem] Finished creating blurred background after 0.2914351224899292 seconds
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,512
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,511
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,510
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,510
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,509
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,507
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,506
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,503
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,502
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,500
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,498
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,497
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,495
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,495
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,494
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,493
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,492
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,491
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,490
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,489
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,488
[2025-03-30 19:38:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,487
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,488
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,488
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,488
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,488
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,488
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,489
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,490
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,490
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,491
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,491
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,491
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,492
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,492
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,493
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,494
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,494
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,494
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,495
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,496
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,496
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,497
[2025-03-30 19:38:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,498
