[2025-03-30 21:11:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:11:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:11:25] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:11:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:11:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:11:25] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:11:25] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:11:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:11:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:11:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:11:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:11:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:11:25] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:11:25] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:11:25] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:11:25] [INFO] [Component] Setting 8afb7148-a841-415e-90fa-0d7e97d683a8 on to 32f93f2f-fe19-4025-bb0d-14ec67dfa536.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit enemy:Fure into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 75116c9d-e5a0-4ee7-b38a-82d1a10a8c84 on to f1998ad8-4da3-4fff-a35a-55c9a2f37f11.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit enemy:Weza into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 2dd234bd-8655-4aff-90dc-cbc35e56c6fe on to 8680d06c-76ca-42d6-a22b-024486fc6b6a.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit enemy:Ouvm into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 6a0dd841-f248-4822-9c7d-a963b8be355e on to a20526d2-23f5-43d8-bf8e-b789e015e9e7.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit enemy:Reauii into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 89036b98-f49f-442a-a6bf-bba32dc6e234 on to ad4209c2-f52d-426e-8feb-57024e8be9be.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit user:Hoexbo into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 404c6aad-d22b-4906-8716-ed309149ef49 on to 7c544428-31ea-4dbf-8c82-cae6dfb34e4c.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit user:Rika into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting 373e1b0f-8491-4138-82ef-ea50cf8453d9 on to 9298b4c3-744c-4f07-b371-7977197aa5ed.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit user:Ioyiyf into queue
[2025-03-30 21:11:25] [INFO] [Component] Setting e53734b6-96cc-436c-8e33-28805d1208cf on to 8bb2c3b7-4896-4a5b-b1be-5b213dcc3432.
[2025-03-30 21:11:25] [INFO] [SpeedQueue] Added unit user:Zeya into queue
[2025-03-30 21:11:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:11:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:11:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:11:26] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:11:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:11:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:11:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:11:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:11:26] [INFO] [InputHandler] Gliding main.camera camera to new tile 3908c578-ac07-4593-9d7a-3c761c735040
[2025-03-30 21:11:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:11:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:11:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:11:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:11:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:11:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.29098865389823914 seconds
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,307
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,321
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,346
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,369
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,389
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,394
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,407
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,415
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,418
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,420
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,421
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,422
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,417
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,411
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,403
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,391
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,375
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,362
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,343
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,323
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,303
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,323
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,329
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,334
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,338
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,341
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,345
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,348
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,351
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,353
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,357
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,359
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,364
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,367
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,370
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,373
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,376
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,379
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,381
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,384
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,387
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,390
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,393
[2025-03-30 21:11:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,394
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,395
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,396
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,399
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,400
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,401
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,402
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,403
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,405
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,404
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,403
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,402
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,402
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,401
[2025-03-30 21:11:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,400
