[2025-03-30 21:21:07] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:21:07] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:21:07] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:21:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:21:07] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:21:07] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:21:07] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:21:07] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:21:07] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:21:07] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:21:07] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:21:07] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:21:08] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:21:08] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:21:08] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:21:08] [INFO] [Component] Setting d2dc1f57-1644-4118-9534-1b7734ed0f92 on to 73e1de0e-82d5-4d4b-b244-92a4daee4522.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit enemy:Fumv into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting f94ebf9d-d4b3-4a42-a048-fa1ef13b5b90 on to 9df46f44-d8bf-489f-b3d4-967b665b1e88.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit enemy:Iyxue into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting c2133eb1-cc7f-4941-84d3-6ab5d105db58 on to 357ba973-cf36-4a7d-8f1f-ae3c13a222ba.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit enemy:Buhyuq into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting a0ad619f-68bc-4656-ae9a-e284e0925075 on to d3bdae2c-a572-44eb-88ef-9254cfa38c81.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit enemy:Iiowoz into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting 07648ca0-b3c9-4d9c-a26f-1db23f7e6514 on to e733acb5-4f94-4877-9aa2-1b887e997b11.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit user:Yock into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting 4bc657d7-5767-4bac-b13c-287b0a9ebde8 on to 0427bfa7-4fe1-497f-89ab-2ae715091e40.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit user:Viqeyi into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting 919fa53c-071d-4046-8af6-8d7ad5d2015a on to e8be65d0-7a3a-43b6-b577-370a311d7b49.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit user:Ouxli into queue
[2025-03-30 21:21:08] [INFO] [Component] Setting c1c8c8a0-2127-4721-8c40-c3065c03f03b on to 70cbf274-a626-4dd8-b0e6-a971dcd9c60a.
[2025-03-30 21:21:08] [INFO] [SpeedQueue] Added unit user:Jugm into queue
[2025-03-30 21:21:08] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:21:08] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:21:08] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:21:08] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:21:08] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:21:08] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:21:08] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:21:09] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:21:09] [INFO] [InputHandler] Gliding main.camera camera to new tile da67a1b4-7103-4a7c-bda3-793b549ec10c
[2025-03-30 21:21:09] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:21:09] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:21:09] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:21:09] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:21:09] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:21:09] [INFO] [VisualsSystem] Finished creating blurred background after 0.29617395997047424 seconds
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,40
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,49
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,58
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,71
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,81
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,94
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,104
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,115
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,117
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,130
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,133
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,142
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,147
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,152
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,158
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,164
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,171
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,181
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,191
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,200
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,212
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,222
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,232
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,236
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,242
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,248
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,254
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,257
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,261
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,263
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,265
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,267
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,268
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,270
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,271
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,273
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,274
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,275
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,276
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,276
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,277
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,278
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,279
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,280
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,281
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,282
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,285
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,287
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,291
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,294
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,298
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,304
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,308
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,312
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,315
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,319
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,326
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,329
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,333
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,340
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,342
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,347
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,350
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,353
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,355
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,358
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,361
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,363
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,365
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,367
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,371
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,372
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,374
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,376
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,378
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,380
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,382
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,383
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,385
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,386
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,387
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,388
[2025-03-30 21:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 598,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 582,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 580,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,390
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,389
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,389
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,388
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,388
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,387
[2025-03-30 21:22:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,386
