[2025-03-30 21:43:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:43:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:43:10] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:43:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:43:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:43:10] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:43:10] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:43:10] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:43:10] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:43:10] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:43:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:43:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:43:10] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:43:10] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:43:10] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:43:10] [INFO] [Component] Setting 28f48eaf-9351-436e-9bcf-5b9290b41059 on to 419990df-c91c-420f-b744-2886f3fa53fe.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit enemy:Josi into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting 613405e9-355b-476d-b2cd-f444925487d7 on to d5a7d9a4-5e01-4264-80c6-a5d2c37f0a77.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit enemy:Baweqo into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting 51a8e78f-08a6-4e56-b999-8c3c22ea05e1 on to 1833aba3-7182-456c-8b6a-5b28b4398e18.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit enemy:Iydy into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting 4d7cf446-0390-4d81-a700-94d4260e6a31 on to 0cded715-7e56-40cf-ac2c-76b4679ffa84.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit enemy:Dyho into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting f674df43-54d4-41de-a238-cb1d105f8310 on to 3bbb4647-a563-4b3f-bc84-5be6ae9530b0.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit user:Oapod into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting af1f46b5-2c00-4cca-948a-d5bdac601d7a on to e96499e8-7e4e-440b-a95b-ef5d0055197f.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit user:Vyliar into queue
[2025-03-30 21:43:10] [INFO] [Component] Setting 53dc43ab-ebd3-41a1-92a5-3f360b1e17b1 on to 078d81c4-6123-419c-b41f-b427c2c4b4f5.
[2025-03-30 21:43:10] [INFO] [SpeedQueue] Added unit user:Nogp into queue
[2025-03-30 21:43:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:43:11] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:43:11] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:43:11] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:43:11] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:43:11] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:43:11] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:43:11] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:43:12] [INFO] [InputHandler] Gliding main.camera camera to new tile f81ae1a8-66b4-42dd-83a7-8d49e4ed44e7
[2025-03-30 21:43:12] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:43:12] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:43:12] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:43:12] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:43:12] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,290
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,299
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,301
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,313
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,317
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,320
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,322
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,325
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,326
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,327
[2025-03-30 21:43:12] [INFO] [VisualsSystem] Finished creating blurred background after 0.30383795499801636 seconds
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,327
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,328
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,328
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,328
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,324
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,321
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,318
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,314
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,312
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,310
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,308
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,310
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,312
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,315
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,317
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,318
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,320
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,321
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,322
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,323
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,324
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,325
[2025-03-30 21:43:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,325
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,325
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,325
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,325
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,324
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,323
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,322
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,321
[2025-03-30 21:43:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,320
[2025-03-30 21:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,260
[2025-03-30 21:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,253
