[2025-03-30 21:45:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:45:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:45:48] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:45:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:45:48] [INFO] [Component] Setting 0fbc5a7e-fc55-48e0-b5e9-1ec14d896128 on to 012a9d46-6aa3-47eb-ab04-af616bd4e5e0.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Givy into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 813601ec-23ff-4195-b5c3-b7f35b60ef1f on to a158d84f-bf67-4d90-84ac-02dadf0a51f5.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Zevgoe into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 7e93bd08-a570-4907-bf49-4913cbe4a90e on to 1ef02311-c8dc-4fa8-8c65-d2273363cae2.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Syyaxo into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 02a3293b-b279-4c8b-b83f-673aa3c919a0 on to dd738a70-7dd2-4e16-a05f-a5e9d7a54b88.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Peby into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 434f81cb-d0d5-4198-bccf-f2e745b2b298 on to b476ebf7-edb9-4903-98a3-19cbe68c03dd.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Kisf into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 70124914-723c-49b4-9357-7a3e1f6fb1e2 on to 69e2462b-89a9-4a4a-9f3a-97cd1c9ea98b.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Keviu into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 330296b7-f556-47a2-8b59-0db72612cb79 on to 458a9634-0bd8-43ea-953e-23a7fce7577c.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Kejcci into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting fb1f89a6-a269-4d19-9c48-6b12e005779c on to 773e0ef2-9d2d-4510-8d68-03bfb4db1600.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Leley into queue
[2025-03-30 21:45:48] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:45:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:45:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:45:48] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:45:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:45:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:45:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:45:49] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:45:49] [INFO] [InputHandler] Gliding main.camera camera to new tile 47e8712f-6040-4407-9921-f27eb45ca418
[2025-03-30 21:45:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:45:49] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:45:49] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:45:49] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:45:49] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:45:49] [INFO] [VisualsSystem] Finished creating blurred background after 0.2920595407485962 seconds
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,474
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,442
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,397
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,348
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,294
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,243
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 490,226
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 387,185
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 299,150
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 225,118
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 199,106
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 150,82
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 114,62
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 88,47
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 69,31
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 55,21
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 52,16
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 42,1
[2025-03-30 21:45:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 41,0
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 68,6
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 93,19
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 130,40
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 171,62
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 215,83
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 266,111
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 318,138
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 368,162
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 422,186
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 466,205
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 483,212
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,227
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,239
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,250
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,258
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,266
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,272
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,279
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,283
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,290
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,294
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,299
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,304
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,308
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,312
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,316
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,322
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,326
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,329
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,333
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,336
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,342
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,347
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,352
