[2025-03-30 21:49:03] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:49:03] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:49:03] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:49:03] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:49:03] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:49:03] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:49:03] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:49:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:49:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:49:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:49:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:49:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:49:04] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:49:04] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:49:04] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:49:04] [INFO] [Component] Setting 04b48913-92f2-40ee-aa89-a5c0b3912356 on to fe649e14-ea6d-4363-9497-3c6b184cdcfc.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit enemy:Ninu into queue
[2025-03-30 21:49:04] [INFO] [Component] Setting b5f6a021-17fd-473c-94fd-a9fb847f5bd6 on to fa15c5bc-7bed-4964-8290-ba1613b2b12c.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit enemy:Tosei into queue
[2025-03-30 21:49:04] [INFO] [Component] Setting 9456d63f-e37a-4dbe-8237-34e367e8dcc9 on to 921dca71-040e-4949-a39d-f6217c087b79.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit enemy:Cequ into queue
[2025-03-30 21:49:04] [INFO] [Component] Setting 81704b87-a5c7-4e8b-af02-4b894d2544e1 on to bcce0b31-b4af-41c7-9bf0-649e4d0718ea.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit enemy:Vakfwo into queue
[2025-03-30 21:49:04] [INFO] [Component] Setting 5a4fa9b4-2665-4acc-8e78-1247e12b4998 on to 27e00db5-a746-4e3c-bc57-9bd3654b5a24.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit user:Guryz into queue
[2025-03-30 21:49:04] [INFO] [Component] Setting 05ffd256-44c8-47b8-acf4-9f5070a519a0 on to 51c77c62-c717-45a6-a364-3cef78220273.
[2025-03-30 21:49:04] [INFO] [SpeedQueue] Added unit user:Ducocy into queue
[2025-03-30 21:49:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:49:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:49:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:49:04] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:49:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:49:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:49:04] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:49:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:49:05] [INFO] [InputHandler] Gliding main.camera camera to new tile 4ba15b53-731b-4668-82ed-adf029c078e4
[2025-03-30 21:49:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:49:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:49:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:49:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:49:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:49:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.2961006760597229 seconds
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,530
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,528
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,526
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,524
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,523
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,521
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,520
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,519
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,519
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,518
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,517
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,517
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,517
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,516
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,515
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,515
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,514
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,513
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,513
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,512
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,511
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,510
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,509
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,508
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,507
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,505
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,503
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,499
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,495
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,488
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,481
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,474
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,465
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,456
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,445
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,434
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,420
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,409
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,398
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,387
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,373
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,362
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,350
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,337
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,332
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,323
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,314
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,308
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,301
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,298
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,296
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,295
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,295
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,292
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,288
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,283
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,276
[2025-03-30 21:49:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,271
