[2025-03-30 21:51:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:51:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:51:06] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:51:06] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:51:06] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:51:06] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:51:06] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:51:06] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:51:06] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:51:06] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:51:06] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:51:06] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:51:06] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:51:06] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:51:06] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:51:06] [INFO] [Component] Setting 444567e6-94ef-421a-8e8e-7e6f6735750d on to 5b2156bc-b10b-49f7-a35e-0ee4b3529838.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit enemy:Iaveo into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting e1ec2ef4-71fc-4b03-bce0-3b298de39645 on to 197d9f0c-74e8-4202-ab90-9164e57c1186.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit enemy:Raty into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting 367a82cb-6650-4fc2-98d6-0cea80c9b3cc on to 9b0924a7-bc26-43e1-bae1-da398b3caa66.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit enemy:Pagfac into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting f696ce75-98d9-4f05-b180-82e4f4326639 on to fc6b38e4-01e2-4ac1-bfab-f0db0b377edf.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit enemy:Paluq into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting 65e6f97b-92c6-44dd-83d4-36e6d431d7cf on to 65cc2434-b9a2-4fb8-a118-8600b9a2cab9.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit user:Muuemo into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting 7e82e85a-03aa-45eb-85fe-82321d38c4bb on to d0f0c6a0-1544-4e4d-948a-5fd21e3c49ff.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit user:Nuqa into queue
[2025-03-30 21:51:06] [INFO] [Component] Setting bbc0b640-395c-471e-b5c6-c20401808e72 on to 10d7a32e-9ed0-4946-9457-4b8a6b0a41fa.
[2025-03-30 21:51:06] [INFO] [SpeedQueue] Added unit user:Tyny into queue
[2025-03-30 21:51:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:51:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:51:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:51:06] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:51:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:51:07] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:51:07] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:51:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:51:07] [INFO] [InputHandler] Gliding main.camera camera to new tile 186c1b8b-5bc8-4243-a3b5-dcfbaaf0d549
[2025-03-30 21:51:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:51:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:51:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:51:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:51:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:51:08] [INFO] [VisualsSystem] Finished creating blurred background after 0.29138267040252686 seconds
[2025-03-30 21:51:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1125,203
[2025-03-30 21:51:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,202
[2025-03-30 21:51:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,202
[2025-03-30 21:51:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,201
[2025-03-30 21:51:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,201
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,202
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,203
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,208
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,214
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,220
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,226
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,229
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,240
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,242
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,250
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,254
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,260
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,265
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,275
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,277
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,283
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,288
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,292
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,298
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,301
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,304
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,308
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,311
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,312
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,313
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,315
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,316
[2025-03-30 21:51:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,317
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,319
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,320
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,322
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,323
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,324
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,326
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,327
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,328
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,330
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,331
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,332
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,333
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,333
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,333
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,333
[2025-03-30 21:51:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,333
