[2025-03-30 21:52:40] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:52:40] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:52:40] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:52:40] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:52:40] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:52:40] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:52:40] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:52:40] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:52:40] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:52:40] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:52:40] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:52:40] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:52:40] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:52:40] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:52:40] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:52:40] [INFO] [Component] Setting 7e1e128c-97ed-4ae3-ba97-e3eeb639df30 on to a4ff5194-f6fb-4e3d-b2cb-6a5952638cb5.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit enemy:Kiaa into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting b0013668-cef7-4059-b05a-0c72d4e6d3fe on to 48de1e95-0f7b-432e-9012-2e8766e10f77.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit enemy:Zanhzu into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting 4f659a86-b187-4e8e-a829-aeaedc3e2f81 on to dc4945c7-d2b9-4f75-a652-59a51d0933a5.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit enemy:Wayuhr into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting b56516c5-72e5-472f-8abb-ea267484d871 on to 83dac1c8-a9e9-44be-8b0e-0e97be4de43e.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit user:Dosv into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting b29ebec5-3599-43f7-927a-6dc7b6f83ee1 on to 34ac3aca-8376-42af-914d-f2770245dda0.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit user:Rikdjt into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting 96a5c2ea-827c-4ceb-a396-c33ec113efe7 on to 1fd16bbe-7401-4291-99a4-68c78176c28f.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit user:Qivf into queue
[2025-03-30 21:52:40] [INFO] [Component] Setting 14bdbbd2-a784-43ef-9959-dbbf9793998f on to e86faeae-9c7a-4c2b-bc1d-e537bc0acb69.
[2025-03-30 21:52:40] [INFO] [SpeedQueue] Added unit user:Jawoau into queue
[2025-03-30 21:52:40] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:52:40] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:52:40] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:52:40] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:52:40] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:52:41] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:52:41] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:52:41] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:52:41] [INFO] [InputHandler] Gliding main.camera camera to new tile 9a5ac579-7620-4ac2-b263-a324e3dd38ae
[2025-03-30 21:52:41] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:52:41] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:52:41] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:52:41] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:52:41] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:52:42] [INFO] [VisualsSystem] Finished creating blurred background after 0.29286250472068787 seconds
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,338
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,335
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,325
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,313
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,297
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,274
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,249
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,238
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,228
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 373,207
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 321,193
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 277,176
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 267,171
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 245,161
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 230,153
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 223,146
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 218,141
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 213,131
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 213,124
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 213,118
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 217,104
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 212,104
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 204,103
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 192,100
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 181,96
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 168,93
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 151,88
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 134,84
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 120,80
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 114,79
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 103,76
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 94,72
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 85,70
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 80,68
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 77,66
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 74,64
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 73,63
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 71,62
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 69,60
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 69,58
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 68,55
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 67,53
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 67,50
[2025-03-30 21:52:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 66,47
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 65,44
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 65,42
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 64,39
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 64,37
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 64,35
[2025-03-30 21:52:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 64,33
