[2025-03-30 21:53:55] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:53:55] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:53:56] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:53:56] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:53:56] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:53:56] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:53:56] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:53:56] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:53:56] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:53:56] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:53:56] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:53:56] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:53:56] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:53:56] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:53:56] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:53:56] [INFO] [Component] Setting 0cde0c47-5b24-4a0a-9ed9-246e7d88af4f on to 9fd57ef3-b1a0-49c9-ae7d-87bd3a3e380d.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit enemy:Ceii into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting e01fee7e-686a-4ab0-b168-cfa75343119f on to 4cf1e54f-99a8-428c-a183-5d79f41548cf.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit enemy:Culmss into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting 8e002483-dd88-4d12-a7a1-c3e4ab430ca0 on to e7309bb1-e688-4a58-8fee-f830e4706e40.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit enemy:Iuweqa into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting f10e1c18-c4a7-469c-8189-b9229aab391d on to 167ab874-af2d-4a3c-9816-7e59db20c23c.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit enemy:Xony into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting 7d432eb7-22d8-433a-9709-d4feab9d52ac on to 7fb8ca89-aa1e-4a2e-a36d-ab0d5be26d96.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit user:Iiaay into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting c48af11b-5bb9-461c-aa8a-f58825b23cee on to 9ce73578-3696-4d1a-a329-28a47998e011.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit user:Syxw into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting a32d21a5-64a8-4bf9-8810-34b2e767bec9 on to b4584b31-65f1-4b90-8d7c-81ff7b2fb323.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit user:Jyma into queue
[2025-03-30 21:53:56] [INFO] [Component] Setting dbb7e25c-d8d7-4d59-a8ef-a53f9ed54fe3 on to b454ee88-1003-4158-8b2f-be2fee125b74.
[2025-03-30 21:53:56] [INFO] [SpeedQueue] Added unit user:Ziro into queue
[2025-03-30 21:53:56] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:53:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:53:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:53:56] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:53:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:53:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:53:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:53:57] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:53:57] [INFO] [InputHandler] Gliding main.camera camera to new tile efa3e664-708a-4cf3-a0c4-bfa22a05c66a
[2025-03-30 21:53:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:53:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:53:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:53:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:53:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:53:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.29513120651245117 seconds
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,353
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,352
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,351
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,350
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,350
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,349
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,348
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,348
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,347
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,346
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,345
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,344
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,343
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,342
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,342
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,340
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,339
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,338
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,336
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,333
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,331
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,328
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,326
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,323
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,320
[2025-03-30 21:54:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,318
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,317
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,316
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,315
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,313
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,314
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,317
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,320
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,321
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,323
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,324
[2025-03-30 21:54:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,325
