[2025-03-30 21:56:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:56:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:56:25] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:56:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:56:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:56:25] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:56:25] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:56:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:56:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:56:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:56:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:56:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:56:25] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:56:25] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:56:25] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:56:25] [INFO] [Component] Setting 5c43e686-5bfc-4cef-ba2c-61e379a886c9 on to cc71d77d-2f3f-49a5-8940-97711d00d1b3.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit enemy:Nixaao into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting 9aa1f499-0490-402e-bb52-fe4b656cf26c on to 69bea6e3-3128-4554-894c-782a7ef119e5.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit enemy:Quly into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting 16b83c5a-e7be-4574-b749-25c3ddcf4dd0 on to f5f887cc-1d20-49d2-b769-28c4490b0a4b.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit enemy:Yovla into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting b1397ff5-f6d1-45a3-a67c-694676b60059 on to 43bd3ee1-2698-4c20-8061-7fc268660c3b.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit enemy:Yysp into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting 47f5641f-6371-4205-aa8d-9e1911d21cae on to 6d3c9abf-4ffc-45e2-b074-576dc16a8d24.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit user:Soaa into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting 760f2457-d013-4d65-90da-e1018f66d1ab on to 5f77d36b-697a-4d1b-a841-f476e2351be3.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit user:Yeox into queue
[2025-03-30 21:56:25] [INFO] [Component] Setting 78d3177c-5ed2-4b53-8f48-2ef178543244 on to e5c8775e-297f-4c30-9a2f-091b54426024.
[2025-03-30 21:56:25] [INFO] [SpeedQueue] Added unit user:Syai into queue
[2025-03-30 21:56:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:56:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:56:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:56:26] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:56:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:56:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:56:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:56:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:56:27] [INFO] [InputHandler] Gliding main.camera camera to new tile af2310ba-b47e-4ebf-b03e-5ddcc8704766
[2025-03-30 21:56:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:56:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:56:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:56:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:56:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 21:56:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.29106441140174866 seconds
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,354
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,356
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,361
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,362
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,364
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,367
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,369
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,370
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,371
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,372
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,374
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,375
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,376
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,377
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,379
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,379
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,381
[2025-03-30 21:56:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,382
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,384
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,385
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,387
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,389
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,390
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,391
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,392
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,394
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,395
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,397
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,397
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,399
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,400
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,400
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,401
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,402
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,403
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,403
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,404
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,404
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,405
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,405
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,405
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,405
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,406
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,407
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,410
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,412
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,417
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,419
[2025-03-30 21:56:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,420
