[2025-03-30 22:31:34] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:31:34] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:31:34] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:31:34] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:31:34] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:31:34] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:31:34] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:31:34] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:31:34] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:31:34] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:31:35] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:31:35] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:31:35] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:31:35] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:31:35] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:31:35] [INFO] [Component] Setting bc9d3702-b650-45b0-bfb5-356a6cccc042 on to d0cf835f-3e63-41d7-a9c1-510d8481f7f5.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit enemy:Wegoiw into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting 0d20df7f-e339-432a-aabd-3a62ac242702 on to 39625f4c-9b76-4705-9571-171895194408.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit enemy:Eoyni into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting 5a75b37c-b62e-498b-9da8-84c310a37c65 on to ba80f888-50fd-4308-b7d4-f8275f6417a9.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit enemy:Koha into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting aeabd94b-23c8-4cc6-a5cb-328f0c8a758e on to 5fb32633-dca3-49ff-b6ef-d567dcf08eb4.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit user:Meteei into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting bd389bf1-3977-4cee-9671-19278a038e65 on to 4cb0d925-20cb-4d12-95fb-0d2c163f4dd3.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit user:Peea into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting 1976fdf4-dd04-4d18-93e7-17be240ed0f9 on to c04ff764-1fe6-4a54-8b18-851abf90bd86.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit user:Topcok into queue
[2025-03-30 22:31:35] [INFO] [Component] Setting 634f533b-1e3d-4332-b7cc-e13ae5f6d450 on to 837a31b5-1bb6-45f4-b157-22af915cd11f.
[2025-03-30 22:31:35] [INFO] [SpeedQueue] Added unit user:Iaiy into queue
[2025-03-30 22:31:35] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:31:35] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:31:35] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:31:35] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:31:35] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:31:35] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:31:35] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:31:36] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:31:36] [INFO] [InputHandler] Gliding main.camera camera to new tile 52450e02-df3d-467e-90e2-6f4a8b8e4f66
[2025-03-30 22:31:36] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:31:36] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:31:36] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:31:36] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:31:36] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,588
[2025-03-30 22:31:37] [INFO] [VisualsSystem] Finished creating blurred background after 0.2866147756576538 seconds
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,588
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,588
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,588
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,587
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,586
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,586
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,585
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,584
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,584
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,584
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,584
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,583
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,583
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,583
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,583
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,583
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,582
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,581
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,580
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,579
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,577
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,574
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,569
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,564
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,557
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,551
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,547
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,540
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,533
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,520
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,514
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,506
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,497
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,487
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,476
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,463
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,450
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,440
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,433
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,416
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,409
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,406
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,401
[2025-03-30 22:31:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,398
