[2025-03-30 22:33:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:33:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:33:47] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:33:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:33:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:33:47] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:33:47] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:33:47] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:33:47] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:33:47] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:33:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:33:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:33:48] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:33:48] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:33:48] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:33:48] [INFO] [Component] Setting 08b338d0-6f10-4065-b090-42053345422d on to 654188a2-bb92-46b4-abe4-1f90b6d5cb10.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit enemy:Moeaoo into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting 28385c9f-c713-423c-9fb5-cc888a63d2d1 on to 368f6cdc-6e27-4f73-9d95-db3212e2908c.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit enemy:Hertv into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting 1130f7ad-494b-4039-92a9-d50175c53e9f on to 2d8a83cf-4910-4296-814d-e4e5f06213e7.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit enemy:Kyca into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting 8acdf67d-b52f-4523-a29b-cd7d35630996 on to cf78c27f-c528-4f63-aa4a-ea3ef18c4f6f.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit enemy:Cecmli into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting 841be519-00cf-4820-9436-40727c39990c on to 928f3788-1f10-4dfc-9228-778e69fd930b.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit user:Niqv into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting c6226ed6-d3a7-4814-89a1-a887a1a0be71 on to 7a29f9e8-6d12-4787-9a1c-b9baabfa017b.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit user:Lezei into queue
[2025-03-30 22:33:48] [INFO] [Component] Setting cdad2f87-0bc9-4395-9447-6fbaef4ffb36 on to 02041535-dc27-47c4-9207-7bd1728e2d49.
[2025-03-30 22:33:48] [INFO] [SpeedQueue] Added unit user:Syyug into queue
[2025-03-30 22:33:48] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:33:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:33:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:33:48] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:33:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:33:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:33:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:33:49] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:33:49] [INFO] [InputHandler] Gliding main.camera camera to new tile 63267f40-7c5a-44b7-9bf7-5c6aca67bfb3
[2025-03-30 22:33:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:33:49] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:33:49] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:33:49] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:33:49] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:33:49] [INFO] [VisualsSystem] Finished creating blurred background after 0.30186912417411804 seconds
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,278
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,284
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,287
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,288
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,289
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,290
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,293
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,296
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,299
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,302
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,304
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,306
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,308
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,309
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,310
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,311
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,311
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,311
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,311
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,311
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,309
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,307
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,305
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,304
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,300
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,300
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,297
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,296
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,296
[2025-03-30 22:33:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,296
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,302
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,297
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,294
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,283
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,276
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,271
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,264
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,245
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,242
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,232
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 435,222
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,216
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 350,212
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,207
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 298,206
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 270,203
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 253,200
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 244,199
[2025-03-30 22:33:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 238,198
