[2025-03-30 22:34:02] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:34:02] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:34:02] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:34:02] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:34:02] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:34:02] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:34:02] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:34:02] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:34:02] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:34:02] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:34:02] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:34:02] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:34:02] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:34:02] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:34:02] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:34:02] [INFO] [Component] Setting 1bc13856-2791-47fe-afc2-6e35688dcbb7 on to eb778fff-a36f-4ea8-994c-065d452f51ca.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit enemy:Losuca into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting 3cd13775-3861-4223-8731-0dfb26a2e1c2 on to ff733f71-22c6-4594-ab39-c4dcf7b310f2.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit enemy:Kataio into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting c758e8de-445c-42bc-b88a-36deccb70af1 on to 212065a3-6875-4fc0-b430-78672d32017a.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit enemy:Toni into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting caea7690-db8f-4f03-aa02-f35433dbc3bc on to 5d5c7b3d-8691-4449-9d10-c0e639b64aa7.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit enemy:Oaia into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting c744787c-0090-4a98-94ef-70eb6ce57ef7 on to 37bbc50e-8887-4e14-8f4e-c6360860d1e4.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit user:Varpe into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting 8f593eaa-910a-406c-a780-efa93c76744e on to 92f0c7ac-1d08-4654-aaac-b030168b65fd.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit user:Wacoey into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting e5e265c6-652a-4d53-9c7b-fad7963212fb on to cf7cf05f-f235-4a70-b6bb-dc029d7f64c3.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit user:Eygowy into queue
[2025-03-30 22:34:02] [INFO] [Component] Setting 2d1095fe-a599-4ba8-a1c6-1215f094672a on to b09e59a7-62bd-4312-8987-0e9c02719887.
[2025-03-30 22:34:02] [INFO] [SpeedQueue] Added unit user:Bopeyw into queue
[2025-03-30 22:34:02] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:34:03] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:34:03] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:34:03] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:34:03] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:34:03] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:34:03] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:34:04] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:34:04] [INFO] [InputHandler] Gliding main.camera camera to new tile 4519a8d3-4361-4f41-a125-6f583c20f10e
[2025-03-30 22:34:04] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:34:04] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:34:04] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:34:04] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:34:04] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:34:04] [INFO] [VisualsSystem] Finished creating blurred background after 0.2853004038333893 seconds
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,45
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,55
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,64
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,71
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,79
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,86
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,92
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,99
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,105
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,112
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,118
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,121
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,125
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,129
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,131
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,135
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,135
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,137
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,138
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,138
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,139
[2025-03-30 22:34:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,140
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,140
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,140
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,142
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,146
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,152
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,159
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,167
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,178
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,188
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,198
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,209
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,220
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,234
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,245
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,256
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,261
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,272
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,281
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,298
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,301
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,308
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,314
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,328
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,331
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,338
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,345
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,351
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,358
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,363
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,367
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,371
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,374
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,376
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,378
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,379
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,380
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,381
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,381
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,382
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,383
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,384
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,386
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,390
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,392
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,396
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,400
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,406
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,413
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,417
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,422
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,433
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,437
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,443
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,450
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,457
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,461
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,466
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,471
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,474
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,479
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,484
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,488
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,492
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,496
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,500
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,503
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,506
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,508
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,510
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,512
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,514
[2025-03-30 22:34:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,515
