[2025-03-30 22:37:52] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:37:52] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:37:52] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:37:52] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:37:52] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:37:52] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:37:52] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:37:52] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:37:52] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:37:52] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:37:53] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:37:53] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:37:53] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:37:53] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:37:53] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:37:53] [INFO] [Component] Setting a6ef4430-a9a5-4529-804f-4284b8522db1 on to f4ecc32c-1d2e-4656-9039-4d57ec126828.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit enemy:Guva into queue
[2025-03-30 22:37:53] [INFO] [Component] Setting 55404be5-53d7-4fdb-8117-c174b7d143e5 on to 094a7277-6fc5-44b6-9648-61e322e11af9.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit enemy:Ruujcu into queue
[2025-03-30 22:37:53] [INFO] [Component] Setting 1caeb883-ca1f-4ddc-86ef-e888f893b7d1 on to 887d6f85-894c-4453-a717-303bfd113c2e.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit enemy:Bycyqo into queue
[2025-03-30 22:37:53] [INFO] [Component] Setting 99719119-ce14-493d-a03b-91346c162814 on to 630cd7b1-46b4-438f-a985-6af59c51db8f.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit user:Uodu into queue
[2025-03-30 22:37:53] [INFO] [Component] Setting 9b0bf392-2bb4-428a-b3c6-467310e192d1 on to 14a0fdbf-7a2a-498f-813d-1194b41d4100.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit user:Juzlie into queue
[2025-03-30 22:37:53] [INFO] [Component] Setting 329f94f3-c5d6-4c1c-b41c-25f163ee2dad on to c96ebb67-53af-4f38-9747-d05be5bdbe7b.
[2025-03-30 22:37:53] [INFO] [SpeedQueue] Added unit user:Bemve into queue
[2025-03-30 22:37:53] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:37:53] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:37:53] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:37:53] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:37:53] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:37:53] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:37:53] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:37:54] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:37:54] [INFO] [InputHandler] Gliding main.camera camera to new tile 7eb698e0-5751-48a7-b61e-dcbdb99bc416
[2025-03-30 22:37:54] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:37:54] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:37:54] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:37:54] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:37:54] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:37:54] [INFO] [VisualsSystem] Finished creating blurred background after 0.2928268611431122 seconds
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,109
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,126
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,134
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,147
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,171
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,184
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,188
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,195
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,201
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,206
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,208
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,211
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,213
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,214
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,216
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,216
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,216
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,216
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,216
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,219
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,222
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,229
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,235
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,241
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,247
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,251
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,258
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,262
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,267
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,271
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,276
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,280
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,284
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,287
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,290
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,294
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,297
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,298
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,301
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,303
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,306
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 514,307
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 507,308
[2025-03-30 22:37:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,309
[2025-03-30 22:37:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,310
[2025-03-30 22:37:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,311
[2025-03-30 22:37:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,311
