[2025-03-30 22:42:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:42:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:42:05] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:42:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:42:05] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:42:05] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:42:05] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:42:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:42:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:42:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:42:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:42:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:42:05] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:42:05] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:42:05] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:42:05] [INFO] [Component] Setting b480b074-c30e-4653-b237-43e2b150f5ad on to 8902f442-c109-4113-be9a-303f6ea96a26.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit enemy:Jariay into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting 53b50261-ba65-40d1-b439-a884c1691971 on to 31f4f604-9616-4b2c-bf6d-be7105bb4e4a.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit enemy:Iyque into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting 0d93b889-ece6-4b4d-8a81-e03720e38c39 on to 54a088eb-4502-4fdb-b7d9-68bb37a067b3.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit enemy:Raky into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting 01c0752e-15ab-4f04-9e64-ec10541d9345 on to 7f5d000b-4e5f-4eb3-ab71-23217aae3a38.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit enemy:Penvu into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting 02b7d54f-b4fa-48a2-bc3b-4cf827c7f942 on to aa8a9d0c-9d35-40ca-a4f8-d613fd1e9775.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit user:Aacoay into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting 8b8fd972-7cc1-4798-83e5-4546c6db4a4a on to 352f654d-d532-4c1b-b94e-00f150f1ef60.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit user:Cydku into queue
[2025-03-30 22:42:05] [INFO] [Component] Setting f26286e1-9060-4386-9286-9b0c5f855390 on to 16024fc9-6f3c-4313-920a-7692f23e823b.
[2025-03-30 22:42:05] [INFO] [SpeedQueue] Added unit user:Vyia into queue
[2025-03-30 22:42:05] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:42:06] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:42:06] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:42:06] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:42:06] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:42:06] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:42:06] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:42:06] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:42:06] [INFO] [InputHandler] Gliding main.camera camera to new tile bbc94bf6-9e62-4c91-a95b-8ac7944432ea
[2025-03-30 22:42:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:42:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:42:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:42:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:42:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,171
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,181
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,191
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,201
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,208
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,218
[2025-03-30 22:42:07] [INFO] [VisualsSystem] Finished creating blurred background after 0.29121530055999756 seconds
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,224
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,231
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,239
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,246
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,252
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,260
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,265
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,272
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,279
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,284
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,290
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,299
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,306
[2025-03-30 22:42:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,312
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,313
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,315
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,319
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,325
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,330
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,338
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,345
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,350
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,355
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,361
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,364
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,369
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,373
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,376
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,380
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,388
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,389
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,392
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,399
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,400
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,403
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,406
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,408
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,411
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,413
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,416
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,418
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,420
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,422
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,425
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,427
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,429
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,432
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,433
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,435
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,437
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,438
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,439
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,439
[2025-03-30 22:42:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,440
[2025-03-30 22:42:08] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:42:08] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,269
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,268
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,267
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,266
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,266
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,265
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,264
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,263
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,262
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,261
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,259
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,257
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,255
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,253
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,251
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,248
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,244
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,241
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,238
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,234
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,230
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,223
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,221
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,217
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,213
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,209
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,205
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,201
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,197
[2025-03-30 22:42:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,195
