[2025-03-30 22:46:55] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:46:55] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:46:55] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:46:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:46:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:46:55] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:46:55] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:46:55] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:46:55] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:46:55] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:46:55] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:46:55] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:46:55] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:46:55] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:46:55] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:46:55] [INFO] [Component] Setting cb8ca3fb-8f55-4940-825f-f69002389c3c on to 0d1e5498-06da-41f6-a651-897967315c82.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit enemy:Toio into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting 9d47d5a0-ae08-4efe-9f52-fee85ad6e886 on to 6cd86018-dcca-4085-a691-cbc56d924243.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit enemy:Weys into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting 81fb1b3b-f4b7-419a-af95-c7ae8cb3c721 on to 53bccc50-2aad-45c6-9027-a43bfb8de92c.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit enemy:Yeai into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting dbcf3c00-55a6-4ed5-9be9-22a32e51c2cd on to 1879c596-9cd4-4e21-9fe5-7c2106af0316.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit user:Peuk into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting 4f61100d-e99e-4ee5-a020-32942929391d on to 1f400ee1-fd82-4f8a-a071-dcf88c9c5bdf.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit user:Pyxaju into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting fe949efe-f387-4b16-a060-b53a5b185637 on to 0ef36dba-b1b0-4059-a283-909623e37198.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit user:Dose into queue
[2025-03-30 22:46:55] [INFO] [Component] Setting 929540f6-5805-444d-aba2-b5fb7e957727 on to 9a0f2a29-d872-4f7f-a758-f3576f458169.
[2025-03-30 22:46:55] [INFO] [SpeedQueue] Added unit user:Ioyya into queue
[2025-03-30 22:46:55] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:46:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:46:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:46:56] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:46:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:46:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:46:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:46:56] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:46:56] [INFO] [InputHandler] Gliding main.camera camera to new tile d0f40183-536b-4647-8164-b63e5ef373a2
[2025-03-30 22:46:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:46:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:46:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:46:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:46:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:46:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.2977040410041809 seconds
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,186
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,193
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,195
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,200
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,204
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,207
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,210
[2025-03-30 22:46:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,211
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,211
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,211
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,211
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,219
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,221
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,227
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,232
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,238
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,244
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,249
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,258
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,260
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,265
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,268
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,270
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,271
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,273
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,274
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,272
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,271
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,269
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,268
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,266
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,265
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,264
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,262
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,260
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,259
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,257
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,254
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,251
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,248
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,245
[2025-03-30 22:46:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,242
