[2025-03-30 22:49:58] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 22:49:58] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 22:49:58] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 22:49:58] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 22:49:58] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 22:49:58] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 22:49:58] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 22:49:58] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 22:49:58] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 22:49:58] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 22:49:58] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 22:49:58] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 22:49:58] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 22:49:58] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 22:49:58] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 22:49:58] [INFO] [Component] Setting 4a568513-fc01-43d1-83b8-298b0c606ee5 on to 5bb7dcf2-4f0a-42e4-aedb-cec67d9cecdc.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit enemy:Pizeb into queue
[2025-03-30 22:49:58] [INFO] [Component] Setting 86a1b93f-4763-464b-aa08-797b055ec42f on to 792018f7-b2d7-4136-9982-a220d71b2600.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit enemy:Oyewuw into queue
[2025-03-30 22:49:58] [INFO] [Component] Setting 9ced8b12-96bb-4c3c-9c10-cd860f4e73a1 on to 6e1e5df3-28af-4385-b41b-c43d2c2e32e1.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit enemy:Wuhcuy into queue
[2025-03-30 22:49:58] [INFO] [Component] Setting 1235dea4-fa76-4a3d-befd-c30c875b4801 on to b026342f-24e3-4883-9ef9-0ddb45540e13.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit enemy:Humoi into queue
[2025-03-30 22:49:58] [INFO] [Component] Setting 8c83f150-2398-448f-94c8-978dea3a6a51 on to 0565ca0a-1a3a-44a8-b46e-2c868d7b58f8.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit user:Guhaoj into queue
[2025-03-30 22:49:58] [INFO] [Component] Setting 22fa8fc0-acaa-4174-a5ae-e1d99e0e856f on to dcaba7f8-9b71-4a80-884e-669819a196dc.
[2025-03-30 22:49:58] [INFO] [SpeedQueue] Added unit user:Tehul into queue
[2025-03-30 22:49:58] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 22:49:59] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 22:49:59] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:49:59] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 22:49:59] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 22:49:59] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 22:49:59] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 22:49:59] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 22:49:59] [INFO] [InputHandler] Gliding main.camera camera to new tile cb9da428-9ec2-41c4-b094-d290dc7b9c5b
[2025-03-30 22:50:00] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 22:50:00] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 22:50:00] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 22:50:00] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 22:50:00] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,394
[2025-03-30 22:50:00] [INFO] [VisualsSystem] Finished creating blurred background after 0.29522886872291565 seconds
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,396
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,400
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,401
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,401
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,402
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,403
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,403
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,404
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,404
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,405
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,405
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,405
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,405
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,406
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,405
[2025-03-30 22:50:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,404
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,404
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,403
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,402
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,401
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,400
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,399
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,398
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,397
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,396
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,395
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,393
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,392
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,390
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,388
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,386
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,384
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,380
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,378
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,376
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,374
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,372
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,371
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,369
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,367
[2025-03-30 22:50:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,366
