[2025-03-30 23:16:55] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:16:55] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:16:55] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:16:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:16:55] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:16:55] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:16:55] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:16:55] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:16:55] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:16:55] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:16:55] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:16:55] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:16:55] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:16:55] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:16:55] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:16:55] [INFO] [Component] Setting a807b7b9-defa-47fc-adab-e03b478311f8 on to 4632f35d-d908-4a0d-9f43-a2e00a923079.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit enemy:Sypf into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting b28d00ef-7180-4b86-a1e7-063fc03921c3 on to bf9148f4-b5fe-4de0-afb4-2ca434c3ff22.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit enemy:Qaxioe into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting 0d464e5c-1000-44c1-a943-d124958cb7e8 on to 3b79f259-e853-4a5c-9870-c23363687ae9.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit enemy:Sykiyc into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting ea6fc1db-30d0-4485-9405-69adbce1832d on to f97737b0-df89-4981-bf66-628bd6605fc5.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit enemy:Fote into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting f3de0f9d-57ea-421c-828c-7c290ab5504e on to 6fd2c455-0db3-4e4f-b423-82c9ee6e28f3.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit user:Viruf into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting 79631f66-512f-4f52-9fb8-b2166e5b8218 on to 69786352-e6d3-431d-a0fe-e948f49281c8.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit user:Zyoiy into queue
[2025-03-30 23:16:55] [INFO] [Component] Setting 3ed0c0da-3c60-46f9-a879-fa9782af9e33 on to 5d7e1808-be95-48f8-93dd-96bea5b7c42f.
[2025-03-30 23:16:55] [INFO] [SpeedQueue] Added unit user:Farr into queue
[2025-03-30 23:16:55] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:16:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:16:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:16:56] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:16:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:16:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:16:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:16:56] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:16:56] [INFO] [InputHandler] Gliding main.camera camera to new tile fab24e77-3177-4483-8c1a-933c65721bde
[2025-03-30 23:16:57] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:16:57] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:16:57] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:16:57] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:16:57] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:16:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.29446399211883545 seconds
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,386
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,386
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,385
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,384
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,383
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,381
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,378
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,376
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,374
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,371
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,369
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,366
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,362
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,361
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,359
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,357
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,355
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,352
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,351
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,350
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,347
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,347
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,345
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,342
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,340
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,338
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,335
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,333
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,330
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,327
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,326
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,325
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,321
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,320
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,319
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,319
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,315
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,315
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,314
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,314
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,314
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,313
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,313
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,312
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,312
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,312
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,312
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,312
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,311
[2025-03-30 23:16:58] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,311
[2025-03-30 23:16:58] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:16:58] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 624,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,340
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,342
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,344
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,347
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,352
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,355
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,360
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,363
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,368
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,370
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,373
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,374
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,375
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,376
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,377
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,381
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,384
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,386
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,389
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,392
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,395
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,396
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,398
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,399
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,400
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,401
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,402
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,402
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,404
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,405
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,406
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,407
[2025-03-30 23:16:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,408
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,409
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,410
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,411
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,412
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,413
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,413
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,413
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,413
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,412
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,411
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,411
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,409
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,409
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,409
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,409
[2025-03-30 23:17:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,409
[2025-03-30 23:17:01] [INFO] [MapEditorScene] Started updating camera zoom value
[2025-03-30 23:17:01] [INFO] [MapEditorScene] Successfully updated camera zoom value
[2025-03-30 23:17:01] [INFO] [InputHandler] Gliding main.camera camera to new tile fab24e77-3177-4483-8c1a-933c65721bde
[2025-03-30 23:17:02] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:17:02] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:17:02] [INFO] [InputHandler] Gliding main.camera camera to new tile 94311401-5ffa-47d3-8680-3a5d7d533eed
[2025-03-30 23:17:02] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:17:02] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:17:02] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:17:02] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:17:02] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:17:02] [INFO] [VisualsSystem] Finished creating blurred background after 0.28104305267333984 seconds
[2025-03-30 23:17:03] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:17:03] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:17:03] [INFO] [InputHandler] Gliding main.camera camera to new tile 528e370e-b162-4152-8446-a93927d6d71d
[2025-03-30 23:17:04] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:17:04] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:17:04] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:17:04] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:17:04] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:17:04] [INFO] [VisualsSystem] Finished creating blurred background after 0.27676576375961304 seconds
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,281
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,249
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,222
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,208
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,181
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,153
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,129
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,110
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,98
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,85
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 442,79
[2025-03-30 23:17:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 384,73
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 364,73
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 272,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 255,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 219,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 187,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 159,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 139,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 132,69
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 121,67
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 112,67
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 106,67
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 101,66
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 99,66
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 98,66
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 97,66
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 96,66
[2025-03-30 23:17:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 96,65
