[2025-03-30 23:17:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:17:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:17:25] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:17:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:17:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:17:25] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:17:25] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:17:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:17:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:17:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:17:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:17:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:17:25] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:17:25] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:17:25] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:17:25] [INFO] [Component] Setting 6c7b4138-4f42-4424-9e14-4ae913a346e9 on to ff89f371-1c09-4b96-9b63-e4885f675572.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit enemy:Nufuix into queue
[2025-03-30 23:17:25] [INFO] [Component] Setting 9945045e-f495-4334-8b61-4aca409cb57b on to 8e93b9d2-0f68-4768-865b-b18c2c88f222.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit enemy:Bauuyr into queue
[2025-03-30 23:17:25] [INFO] [Component] Setting cca21f1f-8ebd-4650-abfa-a6b8a301af19 on to 8543d5f8-5163-466a-bd35-8bb21f08377c.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit enemy:Eyejaa into queue
[2025-03-30 23:17:25] [INFO] [Component] Setting dbef4041-d825-484d-9734-43204d84925e on to fd139bae-2685-4bc2-a209-3a4ac7e269fd.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit user:Kozua into queue
[2025-03-30 23:17:25] [INFO] [Component] Setting 1bbec9c0-c5d2-4d0f-895c-16298d9fa994 on to 82e5b53b-1849-4ded-9af2-11a9cc3b2ce5.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit user:Nicsc into queue
[2025-03-30 23:17:25] [INFO] [Component] Setting 85938e27-ffe6-4db9-997e-cfa10c35185d on to 459ff0d9-4f0b-4b91-8b13-3904b112174e.
[2025-03-30 23:17:25] [INFO] [SpeedQueue] Added unit user:Yalb into queue
[2025-03-30 23:17:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:17:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:17:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:17:26] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:17:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:17:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:17:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:17:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:17:27] [INFO] [InputHandler] Gliding main.camera camera to new tile f1e5f904-7195-49b5-bab8-7da5067fa344
[2025-03-30 23:17:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:17:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:17:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:17:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:17:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:17:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.29233503341674805 seconds
[2025-03-30 23:17:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,253
[2025-03-30 23:17:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,258
[2025-03-30 23:17:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,263
[2025-03-30 23:17:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,266
[2025-03-30 23:17:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,271
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,274
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,277
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,279
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,281
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,283
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,284
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,285
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,287
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,288
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,289
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,290
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,292
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,293
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,295
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,296
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,297
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,299
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,299
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,301
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,302
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,303
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,304
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,304
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,305
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,305
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,306
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,306
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,306
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,305
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,304
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,300
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,295
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,288
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,281
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,262
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,250
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,243
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,217
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,201
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 509,186
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 475,171
[2025-03-30 23:17:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,165
