[2025-03-30 23:18:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:18:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:18:10] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:18:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:18:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:18:10] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:18:10] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:18:11] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:18:11] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:18:11] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:18:11] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:18:11] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:18:11] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:18:11] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:18:11] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:18:11] [INFO] [Component] Setting c7ca3362-e603-48e5-be73-c93265be202a on to 8ba3b31e-93ab-4b63-a397-0c8189a32f35.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit enemy:Yinfa into queue
[2025-03-30 23:18:11] [INFO] [Component] Setting b35edad0-e954-44c0-868c-22dc6f90cf3d on to b77bf950-71fe-48ea-86ec-05fed891d26d.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit enemy:Horrz into queue
[2025-03-30 23:18:11] [INFO] [Component] Setting 6927864c-8068-4fe3-9359-c707e95ec63f on to 6d098948-0306-4f02-a73d-df97972a2d90.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit enemy:Bajc into queue
[2025-03-30 23:18:11] [INFO] [Component] Setting 7da85376-9f1c-4d1f-aa1c-4dfcf49b83f6 on to a6ae5cf5-7b07-46c3-9869-beb9efcae813.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit enemy:Duaiia into queue
[2025-03-30 23:18:11] [INFO] [Component] Setting ec3b7cfc-6a1a-474c-a3eb-b2387a0fb8c5 on to 4e2357bd-1096-4c3e-a7ad-1828643f51b2.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit user:Eaiuih into queue
[2025-03-30 23:18:11] [INFO] [Component] Setting 3de04b10-3e1e-4ae7-b273-2d7005240923 on to 8da14f9b-1ebe-4dce-84ec-b0e120e76d52.
[2025-03-30 23:18:11] [INFO] [SpeedQueue] Added unit user:Hiwodi into queue
[2025-03-30 23:18:11] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:18:11] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:18:11] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:18:11] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:18:11] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:18:11] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:18:11] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:18:12] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:18:12] [INFO] [InputHandler] Gliding main.camera camera to new tile 5464131d-4dd7-44cd-9388-f33ba2063aa1
[2025-03-30 23:18:12] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:18:12] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:18:12] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:18:12] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:18:12] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:18:12] [INFO] [VisualsSystem] Finished creating blurred background after 0.2934853732585907 seconds
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,207
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,213
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,221
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,229
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,240
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,252
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,261
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,272
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,281
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,291
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,299
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,309
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,315
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,321
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,328
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,332
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,335
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,337
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,343
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,344
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,345
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,346
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,345
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,345
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,345
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,344
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,343
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,342
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,341
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,340
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,339
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,338
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,337
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,336
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,335
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,334
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,334
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,333
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,334
[2025-03-30 23:18:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,334
