[2025-03-30 23:20:24] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:20:24] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:20:24] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:20:24] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:24] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:24] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:20:24] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:20:24] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:20:24] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:20:24] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:20:24] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:20:24] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:20:24] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:20:24] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:20:24] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:20:24] [INFO] [Component] Setting 75313142-b0b8-4b88-8334-66441f0a5b14 on to f770ea61-3761-40c4-a15e-1397538ee762.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit enemy:Kebo into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting 3f258207-a63f-4ed8-8784-f49db236caa7 on to 236941aa-ce59-44a8-b3e8-98c0249ebe79.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit enemy:Kuyooi into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting 82c90b66-57f8-48e9-be67-bcb3b9d9e9af on to 819636ae-6bb5-4872-b6e6-c913a0b2fb92.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit enemy:Jeea into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting a430b90e-b105-4c4f-aac1-c8ae89161b21 on to 489be4d6-3a6f-4e0e-aeb8-1b30470c8cce.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit enemy:Iemfuj into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting f54d7f57-783a-43d8-b86b-31913e2cdab8 on to 1f598b3e-c803-457a-a981-594abd0ed38d.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit user:Yomi into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting 23661c94-ef31-4d5e-a02f-64e6beb5b26e on to 067fe6a1-709b-48d8-8dfc-ee94bb102c1f.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit user:Zixye into queue
[2025-03-30 23:20:24] [INFO] [Component] Setting 00d5d725-53c6-45fa-a599-8df9cdb344ed on to 896eb28c-b23f-4da1-82de-85e93568802c.
[2025-03-30 23:20:24] [INFO] [SpeedQueue] Added unit user:Pyae into queue
[2025-03-30 23:20:24] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:20:24] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:20:24] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:20:24] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:20:24] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:20:25] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:20:25] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:20:25] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:20:25] [INFO] [InputHandler] Gliding main.camera camera to new tile f9999679-f740-4eb8-beb9-b3c35c8e970d
[2025-03-30 23:20:25] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:20:25] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:20:25] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:20:25] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:20:25] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:20:26] [INFO] [VisualsSystem] Finished creating blurred background after 0.2918352782726288 seconds
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,500
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,500
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,500
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,500
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,500
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,499
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,499
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,498
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,498
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,497
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,497
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,497
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,496
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,496
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,496
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,495
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,495
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,494
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,494
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,493
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,493
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,492
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,492
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,491
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,491
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,490
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,490
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,489
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,489
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,489
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,489
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,488
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,488
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,487
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,487
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,487
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,486
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,486
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,485
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,484
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,484
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,484
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,483
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,482
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,482
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,482
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,481
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,481
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,481
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,480
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,478
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,477
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,474
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,470
[2025-03-30 23:20:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,466
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,462
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,456
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,452
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,441
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,434
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,423
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,419
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,411
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 600,401
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,388
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,378
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,366
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,355
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 494,344
[2025-03-30 23:20:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 479,334
