[2025-03-30 23:20:37] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:20:37] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:20:37] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:20:37] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:20:37] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:20:37] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:20:37] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:20:37] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:20:37] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:20:37] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:20:37] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:20:37] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:20:37] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:20:37] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:20:37] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:20:37] [INFO] [Component] Setting 3196fd43-98db-400e-bd97-a9750ebd36ee on to 082feb63-5857-4c26-b7bd-58d28e567d7f.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit enemy:Gagsr into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting 522dbce4-5155-4068-87cb-562126f69770 on to 17832d34-cf3a-40b1-90c9-7d51ada346a0.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit enemy:Eeye into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting 3840295e-17a8-4bc9-9820-b2abe53969ed on to 177c0944-9360-4ccd-b7c7-4711f3d8d554.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit enemy:Yejzfc into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting c525fd24-8918-4a8c-b4b0-c14ebe32f21c on to 4d161347-d2bf-4b9e-a0a6-328ed0628094.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit enemy:Iuxuaw into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting 1a7bad2e-3776-44c1-bc86-baac36a2408f on to 2d60be27-9375-4434-ad5a-f6778620d2aa.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit user:Oiwn into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting fd1376bb-b17c-4ff6-bec7-cd080320beb7 on to 3d0d948e-509d-4591-812d-17407fd24778.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit user:Eiguq into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting a5c9ab5b-9fcc-4b44-a51d-0a258f2300e5 on to 0f9713b6-0ec6-4586-bec9-1e47b7911ed6.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit user:Aaej into queue
[2025-03-30 23:20:37] [INFO] [Component] Setting fbaa3e71-be33-4416-bdc5-d260bf5b2a4a on to 5cce0231-a009-4250-8d3f-893250a4c0a7.
[2025-03-30 23:20:37] [INFO] [SpeedQueue] Added unit user:Eisa into queue
[2025-03-30 23:20:37] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:20:37] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:20:37] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:20:37] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:20:37] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:20:38] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:20:38] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:20:38] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:20:38] [INFO] [InputHandler] Gliding main.camera camera to new tile 169831c2-7185-4819-91ce-7448f6a7713c
[2025-03-30 23:20:38] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:20:38] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:20:38] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:20:38] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:20:38] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,456
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,456
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,456
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,456
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,456
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,456
[2025-03-30 23:20:39] [INFO] [VisualsSystem] Finished creating blurred background after 0.2940104901790619 seconds
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,457
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,458
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,459
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,460
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,461
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,462
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,463
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,464
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,465
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,466
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,466
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,467
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,470
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,470
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,471
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,470
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,469
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,468
[2025-03-30 23:20:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,468
[2025-03-30 23:20:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,467
