[2025-03-30 23:24:01] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:24:01] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:24:01] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:24:01] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:24:01] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:24:01] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:24:01] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:24:01] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:24:01] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:24:01] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:24:01] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:24:01] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:24:01] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:24:01] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:24:01] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:24:01] [INFO] [Component] Setting 6980008a-6d07-40d9-a14f-2497a1a21601 on to 85b978d9-d5b2-4954-bbb5-d4011d84727a.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit enemy:Lykqs into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting cf9d6566-2057-43a9-a447-75ce55f69d5a on to 07f7d669-5476-46c5-9681-3ba1897b0396.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit enemy:Uomyl into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting b7ec3111-f622-482b-b656-bee8f55dff32 on to 10d20a26-34de-4681-abad-832f66aafcfc.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit enemy:Noyiea into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting 380c1403-5aff-4f37-93de-0b2bcd94d644 on to 88a66df2-c9a5-44e4-8c37-6b3de393214c.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit user:Tuly into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting 29f7576e-c5ac-4f7e-8d8b-10d1a8ff4e89 on to d35fccb0-61ca-4d4b-b414-0218bbc7d168.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit user:Tiqey into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting ff0ad0b1-1ce7-4865-bbf3-8cd9dd459f05 on to 99fed7a6-7071-4932-ba8c-46f7b7c353a3.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit user:Uifi into queue
[2025-03-30 23:24:01] [INFO] [Component] Setting 922b9b8d-6044-41ee-a87f-9d111c29acb6 on to 7e3767db-e12f-4519-a37e-1fcad091a9ff.
[2025-03-30 23:24:01] [INFO] [SpeedQueue] Added unit user:Cunuha into queue
[2025-03-30 23:24:01] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:24:02] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:24:02] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:24:02] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:24:02] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:24:02] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:24:02] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:24:02] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:24:02] [INFO] [InputHandler] Gliding main.camera camera to new tile 8c2d1770-2125-44fc-9c58-b8c8526b820a
[2025-03-30 23:24:03] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:24:03] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:24:03] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:24:03] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:24:03] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:24:03] [INFO] [VisualsSystem] Finished creating blurred background after 0.28868168592453003 seconds
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 529,626
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,618
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,610
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,595
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,592
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,583
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,577
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,572
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,565
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,560
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,547
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,536
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,533
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,522
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,515
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,514
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,507
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,503
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,496
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,494
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,491
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,486
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,483
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,481
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,478
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,475
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,472
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,470
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,467
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,464
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,463
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,460
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,459
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,457
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,455
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,453
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,452
[2025-03-30 23:24:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,451
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,450
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,449
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,447
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,446
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,444
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,443
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,441
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,440
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,437
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,436
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,435
[2025-03-30 23:24:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,434
