[2025-03-30 23:31:30] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:31:30] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:31:30] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:31:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:31:31] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:31:31] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:31:31] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:31:31] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:31:31] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:31:31] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:31:31] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:31:31] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:31:31] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:31:31] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:31:31] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:31:31] [INFO] [Component] Setting fcae97d3-4cac-429e-9005-668f934015e0 on to a2c194a4-7259-4e59-acfc-25d4e0df7160.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit enemy:Yapvy into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting df137600-12b5-4904-864b-a75281c1207e on to ddd010c3-6f22-4a49-a695-6c6b88ee66e5.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit enemy:Mifh into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting 09015c04-5905-48a8-98b1-8e3d5c1856f4 on to 548e008c-8cbe-4f67-b703-73429c0bdf4f.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit enemy:Sevloj into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting 765be1d3-29b8-4590-9823-f4fdb4ec8817 on to 899f6e13-3534-49df-be3a-05f5337c78f5.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit enemy:Gumyyi into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting 42c35d8d-f66b-40cd-a157-70dad55d41e3 on to 70b1027a-a5ec-4b66-9531-6f0cef6c2fa3.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit user:Jyuuu into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting 573b5541-78e5-4f18-9e5c-1942a4cf23a6 on to 524caf22-4917-43d6-bde7-7f53a03ba69a.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit user:Oukea into queue
[2025-03-30 23:31:31] [INFO] [Component] Setting bb19963b-cb99-4169-a011-696e6b518ed6 on to 7fbf9eac-1221-4ba4-bfec-90b293fb37a0.
[2025-03-30 23:31:31] [INFO] [SpeedQueue] Added unit user:Qatu into queue
[2025-03-30 23:31:31] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:31:31] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:31:31] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:31:31] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:31:31] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:31:31] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:31:31] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:31:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:31:32] [INFO] [InputHandler] Gliding main.camera camera to new tile 8783c779-dc99-411b-907b-6c32ff82025e
[2025-03-30 23:31:32] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:31:32] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:31:32] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:31:32] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:31:32] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,316
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,317
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,318
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,318
[2025-03-30 23:31:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.2923116087913513 seconds
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,318
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,318
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,318
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,321
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,322
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,325
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,328
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,330
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,332
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,333
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,336
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,337
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,338
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,339
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,335
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,330
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,326
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,324
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,320
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,318
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,316
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,315
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,315
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,314
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,313
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,313
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,312
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,311
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,309
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,309
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,307
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,309
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,312
[2025-03-30 23:31:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,313
[2025-03-30 23:31:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,316
