[2025-03-30 23:32:33] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:32:33] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:32:33] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:32:33] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:32:33] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:32:33] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:32:33] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:32:33] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:32:33] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:32:33] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:32:33] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:32:33] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:32:33] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:32:33] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:32:33] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:32:33] [INFO] [Component] Setting aa4c46e3-a756-4508-be93-6d618a676535 on to 30b6f3a2-44bc-4d9c-89b9-4f9b8094d964.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit enemy:Byqeou into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting 85225bb5-bbbb-4383-83cc-1f74900430d9 on to aeb5509c-e804-4933-98e8-12702c48bf11.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit enemy:Zuycid into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting 332c083d-b087-4adc-b828-fecd8f5a7f67 on to f9bf63b1-a6ab-49cb-866d-58808753e88a.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit enemy:Ruxri into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting d9141c83-90fe-4ff5-9d32-afaa1a22f712 on to 6c59b0f3-ab8d-435e-91a0-2ce15b1302e5.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit user:Motxi into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting 0082671a-b522-459c-8696-c3bbdc912d4f on to f0381aff-914f-479b-a2d7-da06301bcd05.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit user:Mouoec into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting 7b9108a1-1e5a-4c91-8ff2-63b3706986b0 on to b9339eaf-72fc-420d-a724-71db9e6549f8.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit user:Badeua into queue
[2025-03-30 23:32:33] [INFO] [Component] Setting 1287cb2b-f03d-4429-b123-b5264eebeb4e on to ea707509-f269-41d0-9a33-a83774978257.
[2025-03-30 23:32:33] [INFO] [SpeedQueue] Added unit user:Reja into queue
[2025-03-30 23:32:33] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:32:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:32:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:32:34] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:32:34] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:32:34] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:32:34] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:32:34] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:32:34] [INFO] [InputHandler] Gliding main.camera camera to new tile 424bcd9d-d4d5-444b-87e8-54805bb9fb49
[2025-03-30 23:32:35] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:32:35] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:32:35] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:32:35] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:32:35] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,477
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,479
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,481
[2025-03-30 23:32:35] [INFO] [VisualsSystem] Finished creating blurred background after 0.292270302772522 seconds
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,484
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,486
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,489
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,492
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,496
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,498
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,501
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,504
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,507
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,509
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,510
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,511
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,512
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,513
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,513
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,514
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,514
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,512
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,511
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,509
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,508
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,506
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,505
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,503
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,501
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,500
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,499
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,498
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,496
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,495
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,494
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,492
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,490
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,488
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,486
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,484
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,482
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,480
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,478
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,477
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,475
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,473
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,471
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,470
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,469
[2025-03-30 23:32:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,469
