[2025-03-30 23:43:18] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:43:18] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:43:18] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:43:18] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:43:18] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:43:18] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:43:18] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:43:18] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:43:18] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:43:18] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:43:18] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:43:18] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:43:18] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:43:18] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:43:18] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:43:18] [INFO] [Component] Setting 24029b1e-90f2-4221-a3ad-7f09a2be102f on to 73b0afb5-8f40-4ef5-b1c4-058c2c29a9de.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit enemy:Luvie into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting 515f4de7-ada6-4d0d-845e-dcfba5cca6ef on to 3bf8659c-ab47-4458-9bb9-425092238488.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit enemy:Xaivn into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting 598c5248-5b13-47b2-9e38-99313d3f5a3d on to a1ef1e11-d5f6-40b9-babd-dad1cc235f50.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit enemy:Eogepw into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting c9cf7775-da60-47e3-8b57-83ccaa09b7c8 on to ad561096-5b93-4971-928d-082be16457e7.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit enemy:Zaaaa into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting 70ccc1b8-fcdf-4737-8818-8eb1c6c98c8c on to 74501b18-83f4-48ad-8e6c-1c77c1158bcc.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit user:Puhei into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting 43bf6f55-750f-4dce-8a51-4ae66a79154d on to 69dbeca8-fa22-4fbb-89fc-54e61d97ecb7.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit user:Uuqpe into queue
[2025-03-30 23:43:18] [INFO] [Component] Setting 8afebd7a-cfad-4a0b-af87-cab5119cc07f on to 3778187c-0140-4e03-bfcc-599406af647c.
[2025-03-30 23:43:18] [INFO] [SpeedQueue] Added unit user:Siuoi into queue
[2025-03-30 23:43:18] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:43:18] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:43:18] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:43:19] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:43:19] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:43:19] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:43:19] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:43:19] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:43:19] [INFO] [InputHandler] Gliding main.camera camera to new tile 59cde2a3-117c-4257-b98f-6e0b5b184762
[2025-03-30 23:43:19] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:43:19] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:43:19] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:43:19] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:43:19] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:43:20] [INFO] [VisualsSystem] Finished creating blurred background after 0.2950023412704468 seconds
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,476
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,476
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,475
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,472
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,469
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,465
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,462
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,459
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,456
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,453
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,450
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,445
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,442
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,438
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,434
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,428
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,423
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,418
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,413
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,407
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,401
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,397
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,395
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,389
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,386
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,381
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,377
[2025-03-30 23:43:20] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,372
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,370
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,365
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,358
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,351
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,344
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,336
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,330
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,323
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,318
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,313
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,311
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,307
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,305
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,301
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,299
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,297
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,296
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,294
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,293
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,292
[2025-03-30 23:43:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,291
