[2025-03-30 23:49:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:49:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:49:25] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:49:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:49:25] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:49:25] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:49:25] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:49:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:49:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:49:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:49:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:49:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:49:25] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:49:25] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:49:25] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:49:25] [INFO] [Component] Setting a51e2c55-2c72-4026-a7b2-f870cd262e14 on to 29a8659a-b937-4a19-982b-e47bd94dbec3.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit enemy:Folo into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting b08abde8-e509-4242-b6d0-2adca26adc7c on to d48d17df-1735-4bb4-aad6-9347edc480e0.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit enemy:Jyqye into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting 3014b141-a0d1-4572-9da0-a910d5bb5c84 on to 8098a7dd-bc7a-44ec-8e46-937558f749e4.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit enemy:Ioycx into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting cce43572-6ecb-4b1e-8222-0e42ff3dd3d2 on to 79d7bf07-c2ac-47f9-bfdb-372749d54076.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit enemy:Beleo into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting 9a811ab6-4a36-40de-abf2-9ab345cc3021 on to 706af0c3-8d8c-4867-8af0-03c9941c049c.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit user:Guyyxi into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting 1e7b3ae2-a65f-41ba-b5c3-20519e3990fa on to 84001968-9f77-478f-b070-12be605fdd2c.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit user:Cyveuc into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting c29f8d2b-bb74-470d-98ac-7c974e7851ca on to 839490a6-4428-4ba7-9743-ed23910e4bae.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit user:Pofko into queue
[2025-03-30 23:49:25] [INFO] [Component] Setting f467bea9-0e27-4e07-b1b8-3e31998b0dce on to 8b08cd3a-30bc-486a-b7dc-153d2d2f6adf.
[2025-03-30 23:49:25] [INFO] [SpeedQueue] Added unit user:Nooo into queue
[2025-03-30 23:49:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:49:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:49:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:49:26] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:49:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:49:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:49:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:49:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:49:26] [INFO] [InputHandler] Gliding main.camera camera to new tile a56df5d7-a06f-46b2-950e-057e03058193
[2025-03-30 23:49:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:49:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:49:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:49:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:49:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:49:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.2991291582584381 seconds
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,267
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,266
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,265
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,265
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,265
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,265
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,265
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,264
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,264
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,264
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,264
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,263
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,263
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,262
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,262
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,261
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,260
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,260
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,258
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,258
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,257
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,256
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,255
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,255
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,254
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,256
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,257
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,259
[2025-03-30 23:49:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,259
