[2025-03-30 23:50:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 23:50:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 23:50:10] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 23:50:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 23:50:10] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 23:50:10] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 23:50:10] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 23:50:10] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 23:50:10] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 23:50:10] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 23:50:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 23:50:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 23:50:10] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 23:50:10] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 23:50:10] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 23:50:10] [INFO] [Component] Setting 69e79549-4d9d-4405-81e8-8f410f9df3b9 on to 69b8bf00-dd89-4ab3-a2db-34e3f2254476.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit enemy:Tigaeh into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 18874da4-056e-4396-8a09-f09b1cea8fda on to 747dabea-b27b-4cc6-b42c-165b41eaa46a.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit enemy:Ayzl into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 229e5d01-7081-4624-9819-44d8d1997d81 on to 5051270d-40cc-4bd4-bd40-98d4c4de55d1.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit enemy:Hysol into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 37e91d99-b2f8-4c20-a373-3e53b9371307 on to 8cd4b830-6f0c-4020-ada2-61e75056f456.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit enemy:Tiwh into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting c555ae4b-ce78-4a56-ae86-c6203e9092be on to 03b7769f-ce9d-4ef3-bb05-357746beca4f.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit user:Syntme into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 50340e8c-1c55-4bfc-9b20-72c5019903c2 on to ad1f4ca7-0ba4-4bb8-9d79-30d860303dfa.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit user:Zomk into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 65dde13d-1fa6-4c81-b268-43663a1bd611 on to 075428ca-69cc-48c6-ab91-318fc961db5b.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit user:Pabe into queue
[2025-03-30 23:50:10] [INFO] [Component] Setting 17c37409-9a48-4c9e-9ecd-96d207f63e37 on to 26172136-fd75-459c-bb46-e3e72104cb69.
[2025-03-30 23:50:10] [INFO] [SpeedQueue] Added unit user:Xelubo into queue
[2025-03-30 23:50:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 23:50:11] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 23:50:11] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:50:11] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 23:50:11] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 23:50:11] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 23:50:11] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 23:50:12] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 23:50:12] [INFO] [InputHandler] Gliding main.camera camera to new tile b0cbd2a8-21ba-4d13-9fba-29bdadbbe5c6
[2025-03-30 23:50:12] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 23:50:12] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 23:50:12] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 23:50:12] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 23:50:12] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-03-30 23:50:12] [INFO] [VisualsSystem] Finished creating blurred background after 0.2993658185005188 seconds
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 597,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 604,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,548
[2025-03-30 23:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,550
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,552
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,553
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,556
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,557
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,559
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,560
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,561
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,562
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,563
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,564
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,562
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,559
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,557
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,554
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,551
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,546
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,543
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,538
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,533
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,527
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,522
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,517
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,506
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,499
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,493
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,486
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,477
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,473
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,466
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,457
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,452
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,446
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,441
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,438
[2025-03-30 23:50:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,435
