[2025-04-14 10:47:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-14 10:47:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-14 10:47:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-14 10:47:25] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-14 10:47:25] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-14 10:47:25] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-14 10:47:25] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-14 10:47:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-14 10:47:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-14 10:47:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-14 10:47:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-14 10:47:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-14 10:47:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-14 10:47:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-14 10:47:25] [INFO] [Component] Setting water_dragon_Fayy_09638224-fce4-4121-8fd3-5c3f9e9133d0 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Fayy_09638224-fce4-4121-8fd3-5c3f9e9133d0","column":2,"layers":[],"row":0,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit enemy:Fayy into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting fire_dragon_Deju_c83f84c6-37ea-416d-af00-9fae7bd57500 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Deju_c83f84c6-37ea-416d-af00-9fae7bd57500","column":5,"layers":[],"row":2,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit enemy:Deju into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting fire_dragon_Raban_e1788d3f-d173-4141-bd44-2362c50233c8 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Raban_e1788d3f-d173-4141-bd44-2362c50233c8","column":3,"layers":[],"row":1,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit enemy:Raban into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting water_dragon_Aagb_0fc44822-5035-432d-bcb4-1ccf76a33f89 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Aagb_0fc44822-5035-432d-bcb4-1ccf76a33f89","column":6,"layers":[],"row":3,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit enemy:Aagb into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting light_dragon_Yiker_5b994c3b-bd93-4499-a258-b59914edf9d3 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Yiker_5b994c3b-bd93-4499-a258-b59914edf9d3","column":0,"layers":[],"row":3,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit enemy:Yiker into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting earth_dragon_Votqei_75c2e64f-7100-4a31-8f74-3e51c4a508af on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Votqei_75c2e64f-7100-4a31-8f74-3e51c4a508af","column":1,"layers":[],"row":0,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit user:Votqei into queue
[2025-04-14 10:47:25] [INFO] [Component] Setting earth_dragon_Fireoj_dcea3ac2-6103-4cca-ae88-5715ffa3251e on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fireoj_dcea3ac2-6103-4cca-ae88-5715ffa3251e","column":7,"layers":[],"row":1,"structure":"","height":0}.
[2025-04-14 10:47:25] [INFO] [SpeedQueue] Added unit user:Fireoj into queue
[2025-04-14 10:47:25] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-14 10:47:25] [INFO] [FontPool] Started initializing FontPool
[2025-04-14 10:47:25] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-14 10:47:25] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-14 10:47:25] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-14 10:47:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_62f59f50-926c-4478-9fc3-58b6a649ae13
[2025-04-14 10:47:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-14 10:47:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-14 10:47:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 10:47:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 10:47:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-14 10:47:26] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-14 10:47:26] [INFO] [VisualsSystem] Finished creating blurred background after 0.28810030221939087 seconds
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,453
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,453
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,453
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,453
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,454
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,454
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,456
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,456
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,457
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,458
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,458
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,459
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,459
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,460
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,460
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,461
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,462
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,462
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,462
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,462
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,462
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,463
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,463
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,464
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,464
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,464
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,464
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,465
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,467
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,468
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,469
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,470
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,471
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,472
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,473
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,476
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,476
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,478
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,479
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,480
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,481
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,482
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,483
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,484
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,485
[2025-04-14 10:47:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,486
