[2025-04-14 19:23:26] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-14 19:23:26] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-14 19:23:26] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-14 19:23:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-14 19:23:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-14 19:23:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-14 19:23:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-14 19:23:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-14 19:23:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-14 19:23:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-14 19:23:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-14 19:23:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-14 19:23:26] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-14 19:23:26] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-14 19:23:26] [INFO] [Component] Setting dark_dragon_Sypi_985f87fc-02a8-4dad-8242-eea06274b95b on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Sypi_985f87fc-02a8-4dad-8242-eea06274b95b","column":2,"layers":[],"row":3,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit enemy:Sypi into queue
[2025-04-14 19:23:26] [INFO] [Component] Setting air_dragon_Yuly_a576b878-8dd2-4503-b81c-0eb0dd8e83b3 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Yuly_a576b878-8dd2-4503-b81c-0eb0dd8e83b3","column":6,"layers":[],"row":3,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit enemy:Yuly into queue
[2025-04-14 19:23:26] [INFO] [Component] Setting dark_dragon_Sutdiy_6db2094c-fea3-4eb6-9852-0436b03aaa0f on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Sutdiy_6db2094c-fea3-4eb6-9852-0436b03aaa0f","column":0,"layers":[],"row":6,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit enemy:Sutdiy into queue
[2025-04-14 19:23:26] [INFO] [Component] Setting dark_dragon_Mesuvi_a44745c5-6d20-4f30-868a-591998031675 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Mesuvi_a44745c5-6d20-4f30-868a-591998031675","column":5,"layers":[],"row":6,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit enemy:Mesuvi into queue
[2025-04-14 19:23:26] [INFO] [Component] Setting dragon_Xifio_493e1840-68c7-405a-a32a-8dbe42a76472 on to {"spawn_region":[],"collider":"","unit":"dragon_Xifio_493e1840-68c7-405a-a32a-8dbe42a76472","column":2,"layers":[],"row":5,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit enemy:Xifio into queue
[2025-04-14 19:23:26] [INFO] [Component] Setting fire_dragon_Vovu_0df6d179-48ab-4011-88c3-4d8a79e93037 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Vovu_0df6d179-48ab-4011-88c3-4d8a79e93037","column":4,"layers":[],"row":4,"structure":"","height":0}.
[2025-04-14 19:23:26] [INFO] [SpeedQueue] Added unit user:Vovu into queue
[2025-04-14 19:23:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-14 19:23:26] [INFO] [FontPool] Started initializing FontPool
[2025-04-14 19:23:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-14 19:23:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-14 19:23:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-14 19:23:27] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2c45739c-8de2-4c8e-8728-13064039df5b
[2025-04-14 19:23:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-14 19:23:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-14 19:23:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 19:23:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 19:23:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-14 19:23:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-14 19:23:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.28505903482437134 seconds
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,597
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,596
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,595
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,594
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,593
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,592
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,591
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,590
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,589
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,589
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,589
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,588
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,587
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,587
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,587
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,587
[2025-04-14 19:23:28] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 19:23:28] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,428
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,426
[2025-04-14 19:23:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,423
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,423
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,425
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,427
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,429
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,436
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,438
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,441
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,443
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,446
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,449
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,452
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,453
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,453
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,454
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,454
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,455
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,454
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,452
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,448
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,442
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,435
[2025-04-14 19:23:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,425
