[2025-04-14 21:26:20] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-14 21:26:20] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-14 21:26:20] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-14 21:26:20] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-14 21:26:20] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-14 21:26:20] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-14 21:26:20] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-14 21:26:20] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-14 21:26:20] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-14 21:26:20] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-14 21:26:20] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-14 21:26:20] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-14 21:26:20] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-14 21:26:20] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-14 21:26:20] [INFO] [Component] Setting water_dragon_Gawxg_75d5af10-fcb0-4542-be3e-5d3da0e47a3b on to {"spawn_region":[],"collider":"","unit":"water_dragon_Gawxg_75d5af10-fcb0-4542-be3e-5d3da0e47a3b","column":1,"layers":[],"row":5,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit enemy:Gawxg into queue
[2025-04-14 21:26:20] [INFO] [Component] Setting air_dragon_Robes_9c2b0e3a-1d8d-422e-b427-0b09756fa15e on to {"spawn_region":[],"collider":"","unit":"air_dragon_Robes_9c2b0e3a-1d8d-422e-b427-0b09756fa15e","column":0,"layers":[],"row":2,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit enemy:Robes into queue
[2025-04-14 21:26:20] [INFO] [Component] Setting fire_dragon_Eilw_3cbe4f99-406a-4c83-aa9a-4b8a7167066c on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eilw_3cbe4f99-406a-4c83-aa9a-4b8a7167066c","column":1,"layers":[],"row":2,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit enemy:Eilw into queue
[2025-04-14 21:26:20] [INFO] [Component] Setting earth_dragon_Caquw_c83f48c2-f5a2-479c-a013-fbb099ce0558 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Caquw_c83f48c2-f5a2-479c-a013-fbb099ce0558","column":3,"layers":[],"row":3,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit enemy:Caquw into queue
[2025-04-14 21:26:20] [INFO] [Component] Setting light_dragon_Wiqz_7b8a49bd-dfd0-4088-b2a4-bc4c86ce6d33 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Wiqz_7b8a49bd-dfd0-4088-b2a4-bc4c86ce6d33","column":4,"layers":[],"row":4,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit user:Wiqz into queue
[2025-04-14 21:26:20] [INFO] [Component] Setting dark_dragon_Hecfo_2c836d10-1ed9-40eb-9c27-4209f7b17564 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hecfo_2c836d10-1ed9-40eb-9c27-4209f7b17564","column":0,"layers":[],"row":1,"structure":"","height":0}.
[2025-04-14 21:26:20] [INFO] [SpeedQueue] Added unit user:Hecfo into queue
[2025-04-14 21:26:20] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-14 21:26:20] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-14 21:26:20] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-14 21:26:20] [INFO] [FontPool] Started initializing FontPool
[2025-04-14 21:26:20] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-14 21:26:20] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-14 21:26:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-14 21:26:20] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-14 21:26:20] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_48c374e9-6421-4839-b116-cee0bf2b1a80
[2025-04-14 21:26:21] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-14 21:26:21] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-14 21:26:21] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 21:26:21] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 21:26:21] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-14 21:26:21] [INFO] [VisualsSystem] Finished creating blurred background after 0.281269371509552 seconds
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,260
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,272
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,283
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,294
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,306
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,320
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,334
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,348
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,361
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,375
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,388
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,402
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,408
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,418
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,428
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,435
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,440
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,445
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,448
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,450
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,451
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,452
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,453
[2025-04-14 21:26:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,453
[2025-04-14 21:26:23] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 21:26:23] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 21:26:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,330
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,331
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,333
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,335
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,338
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,342
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,345
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,350
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,353
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,358
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,363
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,366
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,370
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,375
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,378
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,383
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,387
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,390
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,392
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,394
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,395
[2025-04-14 21:26:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,396
