[2025-04-14 22:54:58] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-14 22:54:58] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-14 22:54:58] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-14 22:54:58] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-14 22:54:58] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-14 22:54:58] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-14 22:54:58] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-14 22:54:58] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-14 22:54:58] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-14 22:54:58] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-14 22:54:58] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-14 22:54:58] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-14 22:54:58] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-14 22:54:58] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-14 22:54:58] [INFO] [Component] Setting earth_dragon_Cutvye_4b552755-7259-488b-8bf3-6f712faaccb4 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Cutvye_4b552755-7259-488b-8bf3-6f712faaccb4","column":0,"layers":[{"thickness":9,"state":"solid","asset":"sand_1_floor"}],"row":0,"structure":"","height":0}.
[2025-04-14 22:54:58] [INFO] [SpeedQueue] Added unit enemy:Cutvye into queue
[2025-04-14 22:54:58] [INFO] [Component] Setting water_dragon_Zyhg_e881d9cd-4e20-4832-971a-bf3f9df80537 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Zyhg_e881d9cd-4e20-4832-971a-bf3f9df80537","column":6,"layers":[{"thickness":4,"state":"solid","asset":"sand_1_floor"}],"row":4,"structure":"","height":0}.
[2025-04-14 22:54:58] [INFO] [SpeedQueue] Added unit enemy:Zyhg into queue
[2025-04-14 22:54:58] [INFO] [Component] Setting fire_dragon_Xyjg_edc4ed6b-0a92-4775-b060-9dd45a3f3593 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Xyjg_edc4ed6b-0a92-4775-b060-9dd45a3f3593","column":2,"layers":[{"thickness":9,"state":"solid","asset":"sand_1_floor"}],"row":0,"structure":"","height":0}.
[2025-04-14 22:54:58] [INFO] [SpeedQueue] Added unit enemy:Xyjg into queue
[2025-04-14 22:54:58] [INFO] [Component] Setting earth_dragon_Eoun_927e037c-acae-4e0b-be99-6b3db9d6ff46 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Eoun_927e037c-acae-4e0b-be99-6b3db9d6ff46","column":3,"layers":[{"thickness":9,"state":"solid","asset":"sand_1_floor"}],"row":4,"structure":"","height":0}.
[2025-04-14 22:54:58] [INFO] [SpeedQueue] Added unit user:Eoun into queue
[2025-04-14 22:54:58] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-14 22:54:58] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-14 22:54:58] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-14 22:54:58] [INFO] [FontPool] Started initializing FontPool
[2025-04-14 22:54:59] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-14 22:54:59] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-14 22:54:59] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_79ee0ad0-b9b7-4375-bdb4-c53ede20f26c
[2025-04-14 22:54:59] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-14 22:54:59] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-14 22:54:59] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-14 22:54:59] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-14 22:54:59] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-14 22:54:59] [INFO] [VisualsSystem] Finished creating blurred background after 0.2916392683982849 seconds
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,356
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,348
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 506,337
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 480,327
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,316
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 431,306
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 409,296
[2025-04-14 22:54:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 393,288
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 389,285
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 378,279
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,273
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,277
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 371,279
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 372,282
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 374,285
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 379,291
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 385,297
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 391,303
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 398,309
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 406,316
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,325
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 427,334
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 438,343
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 449,352
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 460,362
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 471,371
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 484,381
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 494,388
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,399
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,409
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,419
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,428
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,432
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,439
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,443
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,447
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,449
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,450
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,452
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,453
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,453
[2025-04-14 22:55:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,454
[2025-04-14 22:55:00] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
