[2025-04-15 01:30:53] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 01:30:53] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 01:30:53] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 01:30:53] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 01:30:53] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 01:30:53] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 01:30:53] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 01:30:53] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 01:30:53] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 01:30:53] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 01:30:53] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 01:30:53] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 01:30:53] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 01:30:53] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 01:30:53] [INFO] [Component] Setting dragon_Namzah_cd40d22c-6126-417a-84b2-05b2f5da8887 on to {"spawn_region":[],"collider":"","unit":"dragon_Namzah_cd40d22c-6126-417a-84b2-05b2f5da8887","column":2,"row":2,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit enemy:Namzah into queue
[2025-04-15 01:30:53] [INFO] [Component] Setting air_dragon_Juny_9f65b64c-6824-439c-8953-9fa00e208a51 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Juny_9f65b64c-6824-439c-8953-9fa00e208a51","column":6,"row":3,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit enemy:Juny into queue
[2025-04-15 01:30:53] [INFO] [Component] Setting dragon_Vaxu_64f1a3d6-f4ef-452e-9c05-ed9d1871eaca on to {"spawn_region":[],"collider":"","unit":"dragon_Vaxu_64f1a3d6-f4ef-452e-9c05-ed9d1871eaca","column":5,"row":7,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit enemy:Vaxu into queue
[2025-04-15 01:30:53] [INFO] [Component] Setting earth_dragon_Jefert_982e98f7-722b-493d-b7a2-a5d51c1ad0f9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Jefert_982e98f7-722b-493d-b7a2-a5d51c1ad0f9","column":5,"row":4,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit enemy:Jefert into queue
[2025-04-15 01:30:53] [INFO] [Component] Setting earth_dragon_Aidiii_dab80192-3490-4dce-92f7-f0ab93f4846b on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Aidiii_dab80192-3490-4dce-92f7-f0ab93f4846b","column":5,"row":6,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit user:Aidiii into queue
[2025-04-15 01:30:53] [INFO] [Component] Setting dark_dragon_Mogyu_bfdd9f26-3367-433d-b42f-714478a3a332 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Mogyu_bfdd9f26-3367-433d-b42f-714478a3a332","column":4,"row":2,"structure":"","height":0}.
[2025-04-15 01:30:53] [INFO] [SpeedQueue] Added unit user:Mogyu into queue
[2025-04-15 01:30:53] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 01:30:54] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 01:30:54] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:30:54] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 01:30:54] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 01:30:54] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 01:30:54] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 01:30:54] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:30:54] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_910759aa-6f77-43b8-9134-bfe71bcc77bb
[2025-04-15 01:30:54] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 01:30:54] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 01:30:54] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:30:54] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 01:30:54] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 01:30:54] [INFO] [VisualsSystem] Finished creating blurred background after 0.2804604470729828 seconds
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,397
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,399
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,408
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,410
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,413
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,414
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,413
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,413
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,413
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 517,412
[2025-04-15 01:30:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 489,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 482,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 471,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 468,412
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,413
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 457,414
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,415
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 447,416
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 444,417
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 442,418
[2025-04-15 01:30:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 438,420
