[2025-04-15 01:33:03] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 01:33:03] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 01:33:03] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 01:33:03] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 01:33:03] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 01:33:03] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 01:33:03] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 01:33:03] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 01:33:03] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 01:33:03] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 01:33:03] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 01:33:03] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 01:33:03] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 01:33:03] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 01:33:03] [INFO] [Component] Setting dark_dragon_Feyyc_fac15842-9039-4003-ade8-0d8eddbf47c9 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Feyyc_fac15842-9039-4003-ade8-0d8eddbf47c9","column":1,"row":2,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit enemy:Feyyc into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting earth_dragon_Lapqb_ef6f51b1-5231-4c93-8afe-068808bd2766 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Lapqb_ef6f51b1-5231-4c93-8afe-068808bd2766","column":0,"row":5,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit enemy:Lapqb into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting water_dragon_Colw_b88a20a7-9970-484c-b438-45a61996ae30 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Colw_b88a20a7-9970-484c-b438-45a61996ae30","column":3,"row":4,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit enemy:Colw into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting water_dragon_Kiwco_45ac369b-4490-4a73-9a1d-38c5ca8fbb04 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Kiwco_45ac369b-4490-4a73-9a1d-38c5ca8fbb04","column":0,"row":0,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit enemy:Kiwco into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting light_dragon_Qoza_d90d6b42-ab6c-43a1-a345-fde5262fa0cc on to {"spawn_region":[],"collider":"","unit":"light_dragon_Qoza_d90d6b42-ab6c-43a1-a345-fde5262fa0cc","column":5,"row":5,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit enemy:Qoza into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting air_dragon_Jeuih_29ba5817-00f6-4d49-9b25-d1fb3fa1d64f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Jeuih_29ba5817-00f6-4d49-9b25-d1fb3fa1d64f","column":4,"row":7,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit user:Jeuih into queue
[2025-04-15 01:33:03] [INFO] [Component] Setting earth_dragon_Oembc_5b3fe1ca-83d3-43b3-94f0-0df5cf2b873f on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Oembc_5b3fe1ca-83d3-43b3-94f0-0df5cf2b873f","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 01:33:03] [INFO] [SpeedQueue] Added unit user:Oembc into queue
[2025-04-15 01:33:03] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 01:33:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 01:33:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:33:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 01:33:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 01:33:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 01:33:04] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 01:33:04] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:33:04] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_33410c81-6ba4-46ff-8eeb-527378d7b577
[2025-04-15 01:33:04] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 01:33:04] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 01:33:04] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:33:04] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 01:33:04] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 01:33:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.2827608585357666 seconds
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,425
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,427
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,433
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,438
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,442
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,449
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,457
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,464
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,474
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,484
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,494
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,497
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,504
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,512
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,517
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,521
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,525
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,528
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,533
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,535
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,538
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,540
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,540
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,540
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,539
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,539
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,539
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,539
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,539
[2025-04-15 01:33:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,539
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,540
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,540
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,540
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,541
[2025-04-15 01:33:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,542
