[2025-04-15 01:50:32] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 01:50:32] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 01:50:32] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 01:50:32] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 01:50:32] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 01:50:32] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 01:50:32] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 01:50:32] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 01:50:32] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 01:50:32] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 01:50:32] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 01:50:32] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 01:50:32] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 01:50:32] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 01:50:32] [INFO] [Component] Setting water_dragon_Ueqwii_185476b2-5e40-4e79-9546-c97e67a35e05 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Ueqwii_185476b2-5e40-4e79-9546-c97e67a35e05","column":1,"row":4,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit enemy:Ueqwii into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting light_dragon_Jynuli_cb087af8-b06c-4c7a-a386-5c95e77866a1 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Jynuli_cb087af8-b06c-4c7a-a386-5c95e77866a1","column":3,"row":4,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit enemy:Jynuli into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting dragon_Maur_ed409753-7f9a-428d-ba32-bf4607efb520 on to {"spawn_region":[],"collider":"","unit":"dragon_Maur_ed409753-7f9a-428d-ba32-bf4607efb520","column":6,"row":7,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit enemy:Maur into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting water_dragon_Qopiz_aee4e176-e9cb-4ab5-8e59-061770e17d6a on to {"spawn_region":[],"collider":"","unit":"water_dragon_Qopiz_aee4e176-e9cb-4ab5-8e59-061770e17d6a","column":5,"row":5,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit enemy:Qopiz into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting dark_dragon_Fipzia_a6177d4f-213f-4d71-8177-eea2979b2e97 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Fipzia_a6177d4f-213f-4d71-8177-eea2979b2e97","column":3,"row":1,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit enemy:Fipzia into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting light_dragon_Hyqnj_b4acc7ce-bb95-4abf-86dc-cb652477d146 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Hyqnj_b4acc7ce-bb95-4abf-86dc-cb652477d146","column":4,"row":1,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit user:Hyqnj into queue
[2025-04-15 01:50:32] [INFO] [Component] Setting light_dragon_Bioi_76a5a2c8-90db-4697-a907-ba585738ac6d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Bioi_76a5a2c8-90db-4697-a907-ba585738ac6d","column":3,"row":6,"structure":"","height":0}.
[2025-04-15 01:50:32] [INFO] [SpeedQueue] Added unit user:Bioi into queue
[2025-04-15 01:50:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 01:50:33] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 01:50:33] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:50:33] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 01:50:33] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 01:50:33] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 01:50:33] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 01:50:33] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:50:33] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d4ecbcb9-d8e3-48d7-b45c-d89118839be8
[2025-04-15 01:50:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 01:50:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 01:50:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:50:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 01:50:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 01:50:34] [INFO] [VisualsSystem] Finished creating blurred background after 0.28437212109565735 seconds
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,531
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,539
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,545
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,554
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,563
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,574
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,589
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,613
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,624
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,642
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,662
[2025-04-15 01:50:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,697
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,645
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,632
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,617
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,610
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,597
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,583
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,573
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,563
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,553
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,547
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,544
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,540
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,535
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,532
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,529
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,527
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,526
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,525
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,525
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,524
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,523
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,523
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,522
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,521
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,520
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,519
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,518
[2025-04-15 01:50:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,516
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,515
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,514
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,513
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,513
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,513
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,514
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,518
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,520
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,525
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,535
[2025-04-15 01:50:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,545
