[2025-04-15 01:52:28] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 01:52:28] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 01:52:28] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 01:52:28] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 01:52:28] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 01:52:28] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 01:52:28] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 01:52:28] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 01:52:28] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 01:52:28] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 01:52:28] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 01:52:28] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 01:52:28] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 01:52:28] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 01:52:28] [INFO] [Component] Setting dark_dragon_Iyie_43fb603b-30bd-47f3-8efb-301900b813d4 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Iyie_43fb603b-30bd-47f3-8efb-301900b813d4","column":0,"row":3,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit enemy:Iyie into queue
[2025-04-15 01:52:28] [INFO] [Component] Setting dragon_Lozwgo_76902f9d-ce2e-4e73-be4f-e296a0e71766 on to {"spawn_region":[],"collider":"","unit":"dragon_Lozwgo_76902f9d-ce2e-4e73-be4f-e296a0e71766","column":1,"row":4,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit enemy:Lozwgo into queue
[2025-04-15 01:52:28] [INFO] [Component] Setting dragon_Zybg_0a5fe9b2-ef7c-4adc-84d9-b98269f65ba2 on to {"spawn_region":[],"collider":"","unit":"dragon_Zybg_0a5fe9b2-ef7c-4adc-84d9-b98269f65ba2","column":2,"row":5,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit enemy:Zybg into queue
[2025-04-15 01:52:28] [INFO] [Component] Setting fire_dragon_Eyhyo_b1ad0661-3389-4f30-b6cc-6954e80bfa5a on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eyhyo_b1ad0661-3389-4f30-b6cc-6954e80bfa5a","column":0,"row":0,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit enemy:Eyhyo into queue
[2025-04-15 01:52:28] [INFO] [Component] Setting dark_dragon_Goqh_6b614c03-e7b7-461f-a69f-6f734368906e on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Goqh_6b614c03-e7b7-461f-a69f-6f734368906e","column":3,"row":4,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit user:Goqh into queue
[2025-04-15 01:52:28] [INFO] [Component] Setting dragon_Vogui_2ae98d97-a6ed-41ae-bbce-36959e600ae2 on to {"spawn_region":[],"collider":"","unit":"dragon_Vogui_2ae98d97-a6ed-41ae-bbce-36959e600ae2","column":1,"row":7,"structure":"","height":0}.
[2025-04-15 01:52:28] [INFO] [SpeedQueue] Added unit user:Vogui into queue
[2025-04-15 01:52:28] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 01:52:28] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 01:52:28] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:52:28] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 01:52:28] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 01:52:28] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 01:52:29] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 01:52:29] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 01:52:29] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_cdec3653-a1f1-4385-99b2-de924221cab2
[2025-04-15 01:52:29] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 01:52:29] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 01:52:29] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:52:29] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 01:52:29] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 01:52:29] [INFO] [VisualsSystem] Finished creating blurred background after 0.28520771861076355 seconds
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,671
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,669
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,666
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,664
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,662
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,659
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,656
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,653
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,648
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,643
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,640
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,635
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,630
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,624
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,619
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,614
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,609
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,603
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,598
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,595
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,590
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,588
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,586
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,584
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,583
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,582
[2025-04-15 01:52:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,582
[2025-04-15 01:52:30] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 01:52:30] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,664
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,656
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,643
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,625
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,603
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,578
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,550
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 523,522
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 477,485
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 430,453
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 384,416
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 339,380
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 298,345
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 284,330
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 253,299
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 230,274
[2025-04-15 01:52:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 210,253
