[2025-04-15 02:28:21] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 02:28:21] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 02:28:21] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 02:28:21] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 02:28:21] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 02:28:21] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 02:28:21] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 02:28:21] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 02:28:21] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 02:28:21] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 02:28:21] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 02:28:21] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 02:28:21] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 02:28:21] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 02:28:21] [INFO] [Component] Setting light_dragon_Veuea_a9cb0bb6-c92e-4fbf-a580-28c8388a6c8b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Veuea_a9cb0bb6-c92e-4fbf-a580-28c8388a6c8b","column":3,"row":1,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit enemy:Veuea into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting dragon_Jebi_e1705727-aa7f-4e4f-ae9b-fc6aeb34d575 on to {"spawn_region":[],"collider":"","unit":"dragon_Jebi_e1705727-aa7f-4e4f-ae9b-fc6aeb34d575","column":4,"row":4,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit enemy:Jebi into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting earth_dragon_Uodbi_aa72c5a1-3a54-46c8-8a74-1ca8cde33c07 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uodbi_aa72c5a1-3a54-46c8-8a74-1ca8cde33c07","column":6,"row":6,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit enemy:Uodbi into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting dark_dragon_Jehfs_1d7dc828-4495-4a22-aa5d-bdfd9b2b5903 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Jehfs_1d7dc828-4495-4a22-aa5d-bdfd9b2b5903","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit enemy:Jehfs into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting water_dragon_Tena_8e5b1fa9-0470-461d-af37-30d7b2498acd on to {"spawn_region":[],"collider":"","unit":"water_dragon_Tena_8e5b1fa9-0470-461d-af37-30d7b2498acd","column":1,"row":7,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit enemy:Tena into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting dark_dragon_Hopk_185b788e-bdfd-4c73-b860-ef6382204c89 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hopk_185b788e-bdfd-4c73-b860-ef6382204c89","column":7,"row":3,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit user:Hopk into queue
[2025-04-15 02:28:21] [INFO] [Component] Setting dragon_Nuawco_98c04ebb-e1a4-4e2a-967b-c649b3181204 on to {"spawn_region":[],"collider":"","unit":"dragon_Nuawco_98c04ebb-e1a4-4e2a-967b-c649b3181204","column":1,"row":2,"structure":"","height":0}.
[2025-04-15 02:28:21] [INFO] [SpeedQueue] Added unit user:Nuawco into queue
[2025-04-15 02:28:21] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 02:28:22] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 02:28:22] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:28:22] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 02:28:22] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 02:28:22] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 02:28:22] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 02:28:22] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:28:22] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_339910cf-c263-4081-b065-a1c5b94e502b
[2025-04-15 02:28:22] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 02:28:22] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 02:28:22] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:28:22] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:28:22] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 02:28:23] [INFO] [VisualsSystem] Finished creating blurred background after 0.3728804290294647 seconds
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,389
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,395
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,405
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,424
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,445
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,477
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,489
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,513
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,537
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,556
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,570
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,574
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,590
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,596
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,599
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,601
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,602
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,604
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,604
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,604
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,604
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,604
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,603
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,601
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,599
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,597
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,596
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,595
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,594
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,593
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,592
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,591
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,589
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,588
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,586
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,583
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,581
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,578
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,576
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,574
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,573
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,571
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,570
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,569
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,568
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,567
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,567
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,567
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,567
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,567
[2025-04-15 02:28:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,567
