[2025-04-15 02:38:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 02:38:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 02:38:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 02:38:25] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 02:38:25] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 02:38:25] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 02:38:25] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 02:38:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 02:38:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 02:38:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 02:38:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 02:38:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 02:38:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 02:38:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 02:38:25] [INFO] [Component] Setting dragon_Qeogu_76604f2e-af7c-4495-949a-b702eea46d1c on to {"spawn_region":[],"collider":"","unit":"dragon_Qeogu_76604f2e-af7c-4495-949a-b702eea46d1c","column":6,"row":2,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit enemy:Qeogu into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting dark_dragon_Aevce_f8d8f09f-9a61-4e34-8a8f-7740aa9a15a7 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Aevce_f8d8f09f-9a61-4e34-8a8f-7740aa9a15a7","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit enemy:Aevce into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting water_dragon_Sodo_f6c941ec-1b79-4b10-ad77-280a3f557bde on to {"spawn_region":[],"collider":"","unit":"water_dragon_Sodo_f6c941ec-1b79-4b10-ad77-280a3f557bde","column":6,"row":5,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit enemy:Sodo into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting air_dragon_Qaca_4f694383-9e32-4192-9a15-e8b4925a9f97 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Qaca_4f694383-9e32-4192-9a15-e8b4925a9f97","column":3,"row":2,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit enemy:Qaca into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting light_dragon_Xoxjel_a97c1987-103e-426e-8fbd-3ea5ae169470 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Xoxjel_a97c1987-103e-426e-8fbd-3ea5ae169470","column":0,"row":7,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit enemy:Xoxjel into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting light_dragon_Heju_2e2e2d5e-996b-4fd1-a612-081740bf3ad1 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Heju_2e2e2d5e-996b-4fd1-a612-081740bf3ad1","column":3,"row":0,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit user:Heju into queue
[2025-04-15 02:38:25] [INFO] [Component] Setting light_dragon_Kieeeq_3f983839-77de-4ba7-81b8-dd5291c663b6 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kieeeq_3f983839-77de-4ba7-81b8-dd5291c663b6","column":1,"row":3,"structure":"","height":0}.
[2025-04-15 02:38:25] [INFO] [SpeedQueue] Added unit user:Kieeeq into queue
[2025-04-15 02:38:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 02:38:25] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 02:38:25] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:38:25] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 02:38:25] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 02:38:25] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 02:38:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 02:38:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:38:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_4937310f-035f-42f2-a53b-3e76c308001a
[2025-04-15 02:38:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 02:38:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 02:38:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:38:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:38:26] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 02:38:26] [INFO] [VisualsSystem] Finished creating blurred background after 0.48752152919769287 seconds
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1182,125
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1176,133
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1168,141
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1161,149
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1153,157
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1142,166
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1131,177
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,187
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,199
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,212
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,228
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,240
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,253
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,268
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,280
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,290
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,301
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,311
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,321
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,331
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,339
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,348
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,356
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,361
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,367
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,371
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,375
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,379
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,382
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,386
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,389
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,390
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,393
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,396
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,399
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,402
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,405
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,408
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,411
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,413
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,414
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,417
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,418
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,419
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,420
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,420
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,420
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,420
[2025-04-15 02:38:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,420
[2025-04-15 02:38:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:38:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,296
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,300
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,303
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,312
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,320
[2025-04-15 02:38:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,329
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,334
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,348
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,356
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,361
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,375
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,378
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,387
[2025-04-15 02:38:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,394
