[2025-04-15 02:41:33] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 02:41:33] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 02:41:33] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 02:41:33] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 02:41:33] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 02:41:33] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 02:41:33] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 02:41:33] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 02:41:33] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 02:41:33] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 02:41:33] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 02:41:33] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 02:41:33] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 02:41:33] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 02:41:33] [INFO] [Component] Setting fire_dragon_Mojaqm_b1bc9584-678c-4254-a856-16c07b5dfb10 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Mojaqm_b1bc9584-678c-4254-a856-16c07b5dfb10","column":5,"row":0,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit enemy:Mojaqm into queue
[2025-04-15 02:41:33] [INFO] [Component] Setting dark_dragon_Deciu_1ab00262-e930-4e4a-91c1-6e386109289b on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Deciu_1ab00262-e930-4e4a-91c1-6e386109289b","column":4,"row":1,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit enemy:Deciu into queue
[2025-04-15 02:41:33] [INFO] [Component] Setting dragon_Iajyjo_bd7e971f-0a76-4f2d-8d07-9ec7327dc06f on to {"spawn_region":[],"collider":"","unit":"dragon_Iajyjo_bd7e971f-0a76-4f2d-8d07-9ec7327dc06f","column":4,"row":0,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit enemy:Iajyjo into queue
[2025-04-15 02:41:33] [INFO] [Component] Setting water_dragon_Eodmu_a99457aa-7d02-4604-8c33-dd31c8787a97 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Eodmu_a99457aa-7d02-4604-8c33-dd31c8787a97","column":5,"row":7,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit enemy:Eodmu into queue
[2025-04-15 02:41:33] [INFO] [Component] Setting dark_dragon_Hoyii_a52d3fa5-f186-412e-9c0e-9eb2410a4e3b on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hoyii_a52d3fa5-f186-412e-9c0e-9eb2410a4e3b","column":3,"row":6,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit user:Hoyii into queue
[2025-04-15 02:41:33] [INFO] [Component] Setting dark_dragon_Fowiru_c0827555-ca0e-4a3d-b1d8-3d86062eb311 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Fowiru_c0827555-ca0e-4a3d-b1d8-3d86062eb311","column":1,"row":7,"structure":"","height":0}.
[2025-04-15 02:41:33] [INFO] [SpeedQueue] Added unit user:Fowiru into queue
[2025-04-15 02:41:33] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 02:41:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 02:41:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:41:34] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 02:41:34] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 02:41:34] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 02:41:34] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 02:41:34] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:41:34] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_568dd3ab-1a01-4d07-ac23-0e1030186b36
[2025-04-15 02:41:34] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 02:41:34] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 02:41:34] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:41:34] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:41:34] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 02:41:35] [INFO] [VisualsSystem] Finished creating blurred background after 0.4894866347312927 seconds
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,536
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,537
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,539
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,541
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,542
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,545
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,546
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,547
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,548
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,549
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,550
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,551
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,552
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,553
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,555
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,555
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,556
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,556
[2025-04-15 02:41:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,557
[2025-04-15 02:41:35] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:41:35] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,382
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,382
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,384
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,386
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,391
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,395
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,402
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,412
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,423
[2025-04-15 02:41:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,435
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,472
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,475
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,478
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,479
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,481
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,481
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,482
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,482
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,481
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,479
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,477
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,474
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,472
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,469
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,440
[2025-04-15 02:41:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,431
