[2025-04-15 02:42:51] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 02:42:51] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 02:42:51] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 02:42:51] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 02:42:51] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 02:42:51] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 02:42:51] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 02:42:51] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 02:42:51] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 02:42:51] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 02:42:51] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 02:42:51] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 02:42:51] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 02:42:51] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 02:42:51] [INFO] [Component] Setting dragon_Ponaay_96a230c7-5089-4047-bc8d-777ba1315e64 on to {"spawn_region":[],"collider":"","unit":"dragon_Ponaay_96a230c7-5089-4047-bc8d-777ba1315e64","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit enemy:Ponaay into queue
[2025-04-15 02:42:51] [INFO] [Component] Setting fire_dragon_Wela_0f33626b-d319-446f-8555-997fea5b6707 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Wela_0f33626b-d319-446f-8555-997fea5b6707","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit enemy:Wela into queue
[2025-04-15 02:42:51] [INFO] [Component] Setting fire_dragon_Cutmyn_4c36ed21-6521-4e0d-864a-491269002f2e on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Cutmyn_4c36ed21-6521-4e0d-864a-491269002f2e","column":6,"row":2,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit enemy:Cutmyn into queue
[2025-04-15 02:42:51] [INFO] [Component] Setting earth_dragon_Bicwnk_4fc47345-ae85-4b38-a46e-5d551922626e on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Bicwnk_4fc47345-ae85-4b38-a46e-5d551922626e","column":7,"row":1,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit enemy:Bicwnk into queue
[2025-04-15 02:42:51] [INFO] [Component] Setting fire_dragon_Ninruy_06e6b950-9adb-467a-b40e-043a0b149308 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Ninruy_06e6b950-9adb-467a-b40e-043a0b149308","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit user:Ninruy into queue
[2025-04-15 02:42:51] [INFO] [Component] Setting water_dragon_Cuaa_9dc6e6b5-46a5-468f-9c83-495d1fbce1b1 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cuaa_9dc6e6b5-46a5-468f-9c83-495d1fbce1b1","column":1,"row":0,"structure":"","height":0}.
[2025-04-15 02:42:51] [INFO] [SpeedQueue] Added unit user:Cuaa into queue
[2025-04-15 02:42:51] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 02:42:51] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 02:42:51] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:42:51] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 02:42:51] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 02:42:51] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 02:42:52] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 02:42:52] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:42:52] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5b1e4cf6-3b30-4a2c-9664-be45b21721c1
[2025-04-15 02:42:52] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 02:42:52] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 02:42:52] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:42:52] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:42:52] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 02:42:52] [INFO] [VisualsSystem] Finished creating blurred background after 0.48361796140670776 seconds
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1218,198
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1200,226
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1183,249
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1167,269
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1152,284
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1140,298
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1137,299
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1136,299
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1135,300
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1133,301
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1132,302
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1131,303
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1130,304
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1129,305
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1127,305
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1125,307
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,308
[2025-04-15 02:42:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,309
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,309
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,309
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,309
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,309
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,307
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,300
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,293
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,287
[2025-04-15 02:42:54] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,277
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,195
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,185
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 460,178
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 424,165
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 382,155
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 336,141
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 289,131
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 237,116
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 217,111
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 170,97
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 102,78
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 85,73
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 55,64
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 31,56
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 24,54
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 10,48
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 2,44
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 40,8
[2025-04-15 02:42:55] [INFO] [MapEditorScene] Updated hoveredTilePanes 72,30
