[2025-04-15 02:45:39] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 02:45:39] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 02:45:39] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 02:45:39] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 02:45:39] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 02:45:39] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 02:45:39] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 02:45:39] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 02:45:39] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 02:45:39] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 02:45:39] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 02:45:39] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 02:45:39] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 02:45:39] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 02:45:39] [INFO] [Component] Setting dragon_Gyguz_d4623a70-1204-4302-a3dc-339d3911506f on to {"spawn_region":[],"collider":"","unit":"dragon_Gyguz_d4623a70-1204-4302-a3dc-339d3911506f","column":0,"row":3,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit enemy:Gyguz into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting earth_dragon_Nayza_ac4e5d06-19ba-4f23-907d-03477768f2a7 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Nayza_ac4e5d06-19ba-4f23-907d-03477768f2a7","column":3,"row":2,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit enemy:Nayza into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting air_dragon_Aiqaoc_f72a15d8-52c1-4fdd-87bf-90d195846449 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Aiqaoc_f72a15d8-52c1-4fdd-87bf-90d195846449","column":5,"row":0,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit enemy:Aiqaoc into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting water_dragon_Buri_17ccc2c7-b0d0-42cc-9b24-410370da2171 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Buri_17ccc2c7-b0d0-42cc-9b24-410370da2171","column":4,"row":3,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit enemy:Buri into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting dragon_Dyzyua_93bdc16a-5287-497c-bcb9-8297a2f10a34 on to {"spawn_region":[],"collider":"","unit":"dragon_Dyzyua_93bdc16a-5287-497c-bcb9-8297a2f10a34","column":0,"row":0,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit enemy:Dyzyua into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting dragon_Uaryax_3612db6c-3eef-423d-9cac-fa15ebc9b213 on to {"spawn_region":[],"collider":"","unit":"dragon_Uaryax_3612db6c-3eef-423d-9cac-fa15ebc9b213","column":5,"row":1,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit user:Uaryax into queue
[2025-04-15 02:45:39] [INFO] [Component] Setting light_dragon_Polko_bd109c0c-9d99-4236-bbd4-29366c8a79c9 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Polko_bd109c0c-9d99-4236-bbd4-29366c8a79c9","column":7,"row":3,"structure":"","height":0}.
[2025-04-15 02:45:39] [INFO] [SpeedQueue] Added unit user:Polko into queue
[2025-04-15 02:45:39] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 02:45:39] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 02:45:39] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:45:39] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 02:45:39] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 02:45:39] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 02:45:39] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 02:45:39] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 02:45:39] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_039a159e-7167-4c74-8a9f-b7f60049ec2f
[2025-04-15 02:45:40] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 02:45:40] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 02:45:40] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 02:45:40] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 02:45:40] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 02:45:40] [INFO] [VisualsSystem] Finished creating blurred background after 0.48930203914642334 seconds
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,144
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 474,155
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 428,163
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 381,171
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 334,177
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 317,180
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 247,194
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 230,197
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 198,204
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 166,211
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 138,215
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 132,216
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 115,220
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 101,221
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 92,222
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 87,223
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 84,223
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 82,223
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 80,223
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 79,223
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,222
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,221
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,220
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,219
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,217
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,216
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 78,214
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 79,209
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 81,208
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 85,204
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 89,201
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 95,196
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 99,194
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 104,192
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 109,189
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 114,187
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 117,186
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 119,185
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 122,185
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 123,184
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 125,183
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 126,183
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,183
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,182
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,181
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,180
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,178
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,175
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,170
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,166
[2025-04-15 02:45:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 127,162
