[2025-04-15 21:03:14] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:03:14] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:03:14] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:03:14] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:03:14] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:03:14] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:03:14] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:03:14] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:03:14] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:03:14] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:03:14] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:03:14] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:03:14] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:03:14] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:03:15] [INFO] [Component] Setting light_dragon_Toma_e752811c-608a-4f8b-95a2-87c4c586bba8 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Toma_e752811c-608a-4f8b-95a2-87c4c586bba8","column":4,"row":4,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit enemy:Toma into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting earth_dragon_Moeri_7213f746-ed32-4ce2-8d58-59f5d9f669ec on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Moeri_7213f746-ed32-4ce2-8d58-59f5d9f669ec","column":4,"row":6,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit enemy:Moeri into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting earth_dragon_Ioroys_8ca55592-6dd1-4af0-91aa-a9ab7062d0c1 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Ioroys_8ca55592-6dd1-4af0-91aa-a9ab7062d0c1","column":1,"row":1,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit enemy:Ioroys into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting water_dragon_Bexaaz_1d8dcfe6-1832-4a90-a44c-c73c7a5e8747 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Bexaaz_1d8dcfe6-1832-4a90-a44c-c73c7a5e8747","column":7,"row":3,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit enemy:Bexaaz into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting dark_dragon_Euqfdl_1ffd7d6f-3bdf-4983-83e8-925e8bd0e211 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Euqfdl_1ffd7d6f-3bdf-4983-83e8-925e8bd0e211","column":7,"row":5,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit enemy:Euqfdl into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting dark_dragon_Ceia_14562dd5-6f4b-441e-b609-4198e0f8e422 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Ceia_14562dd5-6f4b-441e-b609-4198e0f8e422","column":0,"row":5,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit user:Ceia into queue
[2025-04-15 21:03:15] [INFO] [Component] Setting light_dragon_Bebw_0422e350-dbbd-4bd2-b5aa-3e05f106c841 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Bebw_0422e350-dbbd-4bd2-b5aa-3e05f106c841","column":2,"row":1,"structure":"","height":0}.
[2025-04-15 21:03:15] [INFO] [SpeedQueue] Added unit user:Bebw into queue
[2025-04-15 21:03:15] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:03:15] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:03:15] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:03:15] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:03:15] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:03:15] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:03:15] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:03:15] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:03:15] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9aa3200d-9037-455d-a500-d841dc99c06a
[2025-04-15 21:03:15] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:03:15] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:03:15] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:03:15] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:03:15] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:03:16] [INFO] [VisualsSystem] Finished creating blurred background after 0.4892866015434265 seconds
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,501
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,501
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,501
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,501
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,501
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,503
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,506
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,509
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,513
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,516
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,520
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,524
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,528
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,532
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,533
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,536
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,537
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,539
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,541
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,542
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,543
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,543
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,544
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,545
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,546
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,547
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,548
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,549
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,550
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,551
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,552
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,553
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,553
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,554
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,554
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,555
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,556
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,556
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,556
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,556
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,556
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,554
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,549
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,543
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,536
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,528
[2025-04-15 21:03:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,517
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,513
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,505
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,499
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,494
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,490
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,488
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,486
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,485
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,484
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,482
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,481
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,479
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,477
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,475
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,472
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,468
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,462
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,459
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,450
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,447
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,442
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,437
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,432
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,427
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,421
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,416
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,409
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,402
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,392
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,381
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,370
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,359
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,347
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,343
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,326
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,322
[2025-04-15 21:03:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,314
