[2025-04-15 21:06:32] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:06:32] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:06:32] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:06:32] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:06:32] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:06:32] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:06:32] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:06:32] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:06:32] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:06:32] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:06:32] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:06:32] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:06:33] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:06:33] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:06:33] [INFO] [Component] Setting dragon_Nyjedy_45ec168a-bf62-42f0-8eed-a08e58a489eb on to {"spawn_region":[],"collider":"","unit":"dragon_Nyjedy_45ec168a-bf62-42f0-8eed-a08e58a489eb","column":3,"row":0,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit enemy:Nyjedy into queue
[2025-04-15 21:06:33] [INFO] [Component] Setting water_dragon_Detuue_d1c1b0f9-fb86-4fc7-916c-df3162108d56 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Detuue_d1c1b0f9-fb86-4fc7-916c-df3162108d56","column":3,"row":7,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit enemy:Detuue into queue
[2025-04-15 21:06:33] [INFO] [Component] Setting dark_dragon_Demlas_6ea17357-1e56-4878-ab00-d8bccabf26aa on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Demlas_6ea17357-1e56-4878-ab00-d8bccabf26aa","column":6,"row":3,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit enemy:Demlas into queue
[2025-04-15 21:06:33] [INFO] [Component] Setting water_dragon_Digq_f47dfea9-de26-42df-9f80-038e4e3ad19f on to {"spawn_region":[],"collider":"","unit":"water_dragon_Digq_f47dfea9-de26-42df-9f80-038e4e3ad19f","column":6,"row":2,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit enemy:Digq into queue
[2025-04-15 21:06:33] [INFO] [Component] Setting fire_dragon_Gyjza_9420d740-c458-42fc-b0d4-01e78566033c on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Gyjza_9420d740-c458-42fc-b0d4-01e78566033c","column":6,"row":5,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit user:Gyjza into queue
[2025-04-15 21:06:33] [INFO] [Component] Setting air_dragon_Zylu_d06a79c4-e44c-4e71-a8a2-0a28f7ed4d23 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Zylu_d06a79c4-e44c-4e71-a8a2-0a28f7ed4d23","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 21:06:33] [INFO] [SpeedQueue] Added unit user:Zylu into queue
[2025-04-15 21:06:33] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:06:33] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:06:33] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:06:33] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:06:33] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:06:33] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:06:33] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:06:33] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:06:33] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_c4a52d8a-95bc-4eeb-b1b9-837a955e1fe4
[2025-04-15 21:06:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:06:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:06:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:06:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:06:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:06:34] [INFO] [VisualsSystem] Finished creating blurred background after 0.4968007504940033 seconds
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,127
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,131
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,134
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,137
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,140
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,145
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,147
[2025-04-15 21:06:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,152
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,157
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,160
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,166
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,173
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,179
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,184
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,189
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,196
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,203
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,210
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,219
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,230
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,240
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,251
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,261
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,272
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,281
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,285
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,291
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,299
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,305
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,311
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,321
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,325
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,330
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,334
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,341
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,346
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,351
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,355
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,359
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,362
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,365
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,368
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,370
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,374
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,376
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,378
[2025-04-15 21:06:35] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,379
