[2025-04-15 21:36:42] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:36:42] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:36:42] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:36:42] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:36:42] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:36:42] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:36:42] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:36:42] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:36:42] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:36:42] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:36:42] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:36:42] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:36:42] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:36:42] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:36:42] [INFO] [Component] Setting dragon_Tipoo_2c7e1534-4cf8-47a5-a51f-df33c16a7848 on to {"spawn_region":[],"collider":"","unit":"dragon_Tipoo_2c7e1534-4cf8-47a5-a51f-df33c16a7848","column":0,"row":4,"structure":"","height":0}.
[2025-04-15 21:36:42] [INFO] [SpeedQueue] Added unit enemy:Tipoo into queue
[2025-04-15 21:36:42] [INFO] [Component] Setting fire_dragon_Piiyo_8967936d-1b91-494c-b893-2d7d76169647 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Piiyo_8967936d-1b91-494c-b893-2d7d76169647","column":1,"row":2,"structure":"","height":0}.
[2025-04-15 21:36:42] [INFO] [SpeedQueue] Added unit enemy:Piiyo into queue
[2025-04-15 21:36:42] [INFO] [Component] Setting water_dragon_Bouozp_61567e6a-9aa0-4b68-a0a3-e3acca289e4c on to {"spawn_region":[],"collider":"","unit":"water_dragon_Bouozp_61567e6a-9aa0-4b68-a0a3-e3acca289e4c","column":3,"row":5,"structure":"","height":0}.
[2025-04-15 21:36:42] [INFO] [SpeedQueue] Added unit enemy:Bouozp into queue
[2025-04-15 21:36:42] [INFO] [Component] Setting fire_dragon_Joas_2006a825-f1f3-4e3a-9333-f42f0170fb29 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Joas_2006a825-f1f3-4e3a-9333-f42f0170fb29","column":2,"row":7,"structure":"","height":0}.
[2025-04-15 21:36:42] [INFO] [SpeedQueue] Added unit user:Joas into queue
[2025-04-15 21:36:42] [INFO] [Component] Setting air_dragon_Rigyoa_829f5a70-37a1-4f86-aa56-6c5dba8fea79 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Rigyoa_829f5a70-37a1-4f86-aa56-6c5dba8fea79","column":2,"row":5,"structure":"","height":0}.
[2025-04-15 21:36:42] [INFO] [SpeedQueue] Added unit user:Rigyoa into queue
[2025-04-15 21:36:42] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:36:43] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:36:43] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:36:43] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:36:43] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:36:43] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:36:43] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:36:43] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:36:43] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_c609edb5-4cad-4295-9954-db931a67cb43
[2025-04-15 21:36:43] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:36:43] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:36:43] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:36:43] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:36:43] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:36:44] [INFO] [VisualsSystem] Finished creating blurred background after 0.49159958958625793 seconds
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,531
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,530
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,529
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,527
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,526
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,523
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,522
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,520
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,517
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,517
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,514
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,512
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,510
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,507
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,506
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,504
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,503
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,501
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,499
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,498
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,497
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,495
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,494
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,493
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,492
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,492
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,491
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,490
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,489
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,489
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,488
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,488
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,488
[2025-04-15 21:36:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,487
[2025-04-15 21:36:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,487
