[2025-04-15 21:38:57] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:38:57] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:38:57] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:38:57] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:38:57] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:38:57] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:38:57] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:38:57] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:38:57] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:38:57] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:38:57] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:38:57] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:38:57] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:38:57] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:38:57] [INFO] [Component] Setting light_dragon_Humhu_39c060af-8309-4a47-b98b-5576cfccdb8c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Humhu_39c060af-8309-4a47-b98b-5576cfccdb8c","column":6,"row":4,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit enemy:Humhu into queue
[2025-04-15 21:38:57] [INFO] [Component] Setting water_dragon_Yyif_2a9c4223-d895-49af-9959-9c59ba01ba65 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Yyif_2a9c4223-d895-49af-9959-9c59ba01ba65","column":4,"row":7,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit enemy:Yyif into queue
[2025-04-15 21:38:57] [INFO] [Component] Setting light_dragon_Zanitt_f4adc898-9365-474b-837a-1369c6c4976b on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zanitt_f4adc898-9365-474b-837a-1369c6c4976b","column":7,"row":7,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit enemy:Zanitt into queue
[2025-04-15 21:38:57] [INFO] [Component] Setting light_dragon_Xieeci_aae317df-43b0-476a-b49a-016d92356277 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Xieeci_aae317df-43b0-476a-b49a-016d92356277","column":0,"row":1,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit enemy:Xieeci into queue
[2025-04-15 21:38:57] [INFO] [Component] Setting water_dragon_Betumy_17c59a0e-066c-43e1-94bc-7c27056bd7fc on to {"spawn_region":[],"collider":"","unit":"water_dragon_Betumy_17c59a0e-066c-43e1-94bc-7c27056bd7fc","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit user:Betumy into queue
[2025-04-15 21:38:57] [INFO] [Component] Setting dragon_Zeeeo_db581747-cdff-4a1f-9a32-db1d7b26b8c2 on to {"spawn_region":[],"collider":"","unit":"dragon_Zeeeo_db581747-cdff-4a1f-9a32-db1d7b26b8c2","column":7,"row":1,"structure":"","height":0}.
[2025-04-15 21:38:57] [INFO] [SpeedQueue] Added unit user:Zeeeo into queue
[2025-04-15 21:38:57] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:38:58] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:38:58] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:38:58] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:38:58] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:38:58] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:38:58] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:38:58] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:38:58] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5f7a05df-ccde-4adc-9b60-420b6ff9dc0f
[2025-04-15 21:38:58] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:38:58] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:38:58] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:38:58] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:38:58] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:38:59] [INFO] [VisualsSystem] Finished creating blurred background after 0.4923812448978424 seconds
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,124
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,130
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,136
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,142
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,145
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,148
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,154
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,157
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,160
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,164
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,167
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,173
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,178
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,181
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,182
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,190
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,191
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,196
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,199
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,202
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,206
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,209
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,213
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,215
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,218
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,222
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,224
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,227
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,229
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,233
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,235
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,237
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,238
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,240
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,241
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,242
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,243
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,243
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,244
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,245
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,246
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,247
[2025-04-15 21:38:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,248
[2025-04-15 21:39:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,249
[2025-04-15 21:39:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,250
[2025-04-15 21:39:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,251
