[2025-04-15 21:39:12] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:39:12] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:39:12] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:39:12] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:39:12] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:39:12] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:39:12] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:39:12] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:39:12] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:39:12] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:39:12] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:39:12] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:39:13] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:39:13] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:39:13] [INFO] [Component] Setting air_dragon_Giljo_6c90917c-d495-4e5e-8258-60bbd021a35b on to {"spawn_region":[],"collider":"","unit":"air_dragon_Giljo_6c90917c-d495-4e5e-8258-60bbd021a35b","column":2,"row":3,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit enemy:Giljo into queue
[2025-04-15 21:39:13] [INFO] [Component] Setting dragon_Sagp_fa6618ae-5b12-4fe0-a749-b9e9a26a07d2 on to {"spawn_region":[],"collider":"","unit":"dragon_Sagp_fa6618ae-5b12-4fe0-a749-b9e9a26a07d2","column":3,"row":6,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit enemy:Sagp into queue
[2025-04-15 21:39:13] [INFO] [Component] Setting air_dragon_Ougle_cf4d57a2-f854-4959-b31a-75998e2d9032 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Ougle_cf4d57a2-f854-4959-b31a-75998e2d9032","column":3,"row":1,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit enemy:Ougle into queue
[2025-04-15 21:39:13] [INFO] [Component] Setting dragon_Tipnvz_805f98f9-a4f9-4e40-9761-eb2fe7ab441e on to {"spawn_region":[],"collider":"","unit":"dragon_Tipnvz_805f98f9-a4f9-4e40-9761-eb2fe7ab441e","column":7,"row":4,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit enemy:Tipnvz into queue
[2025-04-15 21:39:13] [INFO] [Component] Setting fire_dragon_Tokb_b1b9bf81-ef01-46ad-bdbc-0557180a9861 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Tokb_b1b9bf81-ef01-46ad-bdbc-0557180a9861","column":4,"row":1,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit user:Tokb into queue
[2025-04-15 21:39:13] [INFO] [Component] Setting air_dragon_Doqae_576f0630-988b-4e12-af35-fd87014e62ee on to {"spawn_region":[],"collider":"","unit":"air_dragon_Doqae_576f0630-988b-4e12-af35-fd87014e62ee","column":0,"row":6,"structure":"","height":0}.
[2025-04-15 21:39:13] [INFO] [SpeedQueue] Added unit user:Doqae into queue
[2025-04-15 21:39:13] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:39:13] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:39:13] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:39:13] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:39:13] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:39:13] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:39:13] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:39:13] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:39:13] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2f55335e-3acb-49c4-96cc-69216ff2c213
[2025-04-15 21:39:13] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:39:13] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:39:13] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:39:13] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:39:14] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:39:14] [INFO] [VisualsSystem] Finished creating blurred background after 0.48841553926467896 seconds
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,239
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,241
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,243
[2025-04-15 21:39:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,245
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,245
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,246
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,248
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,249
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,250
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,252
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,253
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,254
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,256
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,258
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,259
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,260
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,261
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,262
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,265
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,266
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,268
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,270
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,272
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,273
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,275
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,276
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,277
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,278
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,278
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,279
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,279
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,280
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,280
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,281
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,281
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,282
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,282
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,283
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,284
[2025-04-15 21:39:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,286
