[2025-04-15 21:40:32] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:40:32] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:40:32] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:40:32] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:40:32] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:40:32] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:40:32] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:40:32] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:40:32] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:40:32] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:40:32] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:40:32] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:40:32] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:40:32] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:40:32] [INFO] [Component] Setting air_dragon_Boomeo_57ee472e-a1fd-463a-8211-d379fd733a40 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Boomeo_57ee472e-a1fd-463a-8211-d379fd733a40","column":7,"row":2,"structure":"","height":0}.
[2025-04-15 21:40:32] [INFO] [SpeedQueue] Added unit enemy:Boomeo into queue
[2025-04-15 21:40:32] [INFO] [Component] Setting light_dragon_Nuway_4dc83797-bfb1-4ea9-a732-746f836478b7 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Nuway_4dc83797-bfb1-4ea9-a732-746f836478b7","column":4,"row":6,"structure":"","height":0}.
[2025-04-15 21:40:32] [INFO] [SpeedQueue] Added unit enemy:Nuway into queue
[2025-04-15 21:40:32] [INFO] [Component] Setting dragon_Gekio_93b70568-17ee-46e5-acf9-d8348dd29441 on to {"spawn_region":[],"collider":"","unit":"dragon_Gekio_93b70568-17ee-46e5-acf9-d8348dd29441","column":6,"row":0,"structure":"","height":0}.
[2025-04-15 21:40:32] [INFO] [SpeedQueue] Added unit enemy:Gekio into queue
[2025-04-15 21:40:32] [INFO] [Component] Setting dragon_Gowuo_992d698e-badb-4267-9072-aa41202e0da4 on to {"spawn_region":[],"collider":"","unit":"dragon_Gowuo_992d698e-badb-4267-9072-aa41202e0da4","column":0,"row":6,"structure":"","height":0}.
[2025-04-15 21:40:32] [INFO] [SpeedQueue] Added unit enemy:Gowuo into queue
[2025-04-15 21:40:32] [INFO] [Component] Setting fire_dragon_Bihrjy_811be619-8728-4d82-a249-be4a4399fe18 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Bihrjy_811be619-8728-4d82-a249-be4a4399fe18","column":6,"row":4,"structure":"","height":0}.
[2025-04-15 21:40:32] [INFO] [SpeedQueue] Added unit user:Bihrjy into queue
[2025-04-15 21:40:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:40:32] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:40:32] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:40:32] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:40:32] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:40:32] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:40:32] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:40:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:40:32] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_03af38b8-d768-4c73-bfe6-9549f4825e95
[2025-04-15 21:40:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:40:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:40:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:40:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:40:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:40:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.48962098360061646 seconds
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,166
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,168
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,170
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,171
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,171
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,172
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,173
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,173
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,173
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,173
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,174
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,175
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,175
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,175
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,175
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,175
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,176
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,176
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,177
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,177
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,178
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,179
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,179
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,179
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,179
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,180
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,180
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,181
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,181
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,181
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,182
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,183
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,186
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,189
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 998,192
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,197
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,199
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,202
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,206
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,212
[2025-04-15 21:40:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,213
