[2025-04-15 21:41:10] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 21:41:10] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 21:41:10] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 21:41:10] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 21:41:10] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 21:41:10] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 21:41:10] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 21:41:10] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 21:41:10] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 21:41:10] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 21:41:10] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 21:41:10] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 21:41:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 21:41:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 21:41:10] [INFO] [Component] Setting dragon_Auwa_f8fd8443-9c11-4866-8908-d40bf5ff9ffb on to {"spawn_region":[],"collider":"","unit":"dragon_Auwa_f8fd8443-9c11-4866-8908-d40bf5ff9ffb","column":2,"row":7,"structure":"","height":0}.
[2025-04-15 21:41:10] [INFO] [SpeedQueue] Added unit enemy:Auwa into queue
[2025-04-15 21:41:10] [INFO] [Component] Setting water_dragon_Pozy_c4cec2f4-9e6b-44ba-9a49-7560bf6ee5dd on to {"spawn_region":[],"collider":"","unit":"water_dragon_Pozy_c4cec2f4-9e6b-44ba-9a49-7560bf6ee5dd","column":4,"row":4,"structure":"","height":0}.
[2025-04-15 21:41:10] [INFO] [SpeedQueue] Added unit enemy:Pozy into queue
[2025-04-15 21:41:10] [INFO] [Component] Setting air_dragon_Ziqapz_f4f11837-e370-4c60-8c9f-47ca13e0c8f3 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Ziqapz_f4f11837-e370-4c60-8c9f-47ca13e0c8f3","column":0,"row":2,"structure":"","height":0}.
[2025-04-15 21:41:10] [INFO] [SpeedQueue] Added unit enemy:Ziqapz into queue
[2025-04-15 21:41:10] [INFO] [Component] Setting air_dragon_Kecp_d770c512-746c-429a-9260-a67a4f4e3b7c on to {"spawn_region":[],"collider":"","unit":"air_dragon_Kecp_d770c512-746c-429a-9260-a67a4f4e3b7c","column":7,"row":6,"structure":"","height":0}.
[2025-04-15 21:41:10] [INFO] [SpeedQueue] Added unit user:Kecp into queue
[2025-04-15 21:41:10] [INFO] [Component] Setting air_dragon_Yupuu_b3ec5879-e840-4334-93a8-fd6e24a3f2e7 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Yupuu_b3ec5879-e840-4334-93a8-fd6e24a3f2e7","column":3,"row":5,"structure":"","height":0}.
[2025-04-15 21:41:10] [INFO] [SpeedQueue] Added unit user:Yupuu into queue
[2025-04-15 21:41:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 21:41:10] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 21:41:10] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:41:10] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 21:41:10] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 21:41:10] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 21:41:10] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 21:41:11] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 21:41:11] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_25a4f77e-aee2-4207-bf86-c3abe68e9c44
[2025-04-15 21:41:11] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 21:41:11] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 21:41:11] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 21:41:11] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 21:41:11] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 21:41:11] [INFO] [VisualsSystem] Finished creating blurred background after 0.48648107051849365 seconds
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,126
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,135
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,146
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,156
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,166
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,171
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,178
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,193
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,201
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,208
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,218
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,228
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,238
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,241
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,253
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,257
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,264
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,269
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,274
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,278
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,280
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,282
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,284
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,286
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,288
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,291
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,293
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,295
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,297
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,299
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,301
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,302
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,303
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,304
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,305
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,305
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,306
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,306
[2025-04-15 21:41:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,307
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,307
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,309
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,316
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,332
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,341
[2025-04-15 21:41:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,355
