[2025-04-15 22:43:38] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 22:43:38] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 22:43:38] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 22:43:38] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 22:43:38] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 22:43:38] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 22:43:38] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 22:43:38] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 22:43:38] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 22:43:38] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 22:43:38] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 22:43:38] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 22:43:38] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 22:43:38] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 22:43:38] [INFO] [Component] Setting water_dragon_Lovqye_22a22331-acf4-439d-b55a-de0afd36e284 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Lovqye_22a22331-acf4-439d-b55a-de0afd36e284","column":7,"row":6,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit enemy:Lovqye into queue
[2025-04-15 22:43:38] [INFO] [Component] Setting dragon_Dezy_31a51764-990e-4ba0-a6f3-e24e179a58c9 on to {"spawn_region":[],"collider":"","unit":"dragon_Dezy_31a51764-990e-4ba0-a6f3-e24e179a58c9","column":7,"row":5,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit enemy:Dezy into queue
[2025-04-15 22:43:38] [INFO] [Component] Setting dragon_Qiafei_bf580132-0d55-4ad1-940d-18cf1d919ae7 on to {"spawn_region":[],"collider":"","unit":"dragon_Qiafei_bf580132-0d55-4ad1-940d-18cf1d919ae7","column":6,"row":7,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit enemy:Qiafei into queue
[2025-04-15 22:43:38] [INFO] [Component] Setting earth_dragon_Qeek_dc85982e-6aef-4a14-b16e-5e644c024cf9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Qeek_dc85982e-6aef-4a14-b16e-5e644c024cf9","column":7,"row":2,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit enemy:Qeek into queue
[2025-04-15 22:43:38] [INFO] [Component] Setting air_dragon_Iatl_af9a8672-d260-44bf-a9f3-c5b91df540ee on to {"spawn_region":[],"collider":"","unit":"air_dragon_Iatl_af9a8672-d260-44bf-a9f3-c5b91df540ee","column":6,"row":0,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit user:Iatl into queue
[2025-04-15 22:43:38] [INFO] [Component] Setting earth_dragon_Uyoryw_d3b9ac11-9de4-4b03-8374-39043748b4e5 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uyoryw_d3b9ac11-9de4-4b03-8374-39043748b4e5","column":2,"row":1,"structure":"","height":0}.
[2025-04-15 22:43:38] [INFO] [SpeedQueue] Added unit user:Uyoryw into queue
[2025-04-15 22:43:38] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 22:43:39] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 22:43:39] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 22:43:39] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 22:43:39] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 22:43:39] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 22:43:39] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 22:43:39] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 22:43:39] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b0519078-efb3-4275-b5b1-6f511cdf85cb
[2025-04-15 22:43:39] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 22:43:39] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 22:43:39] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 22:43:39] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 22:43:39] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 22:43:40] [INFO] [VisualsSystem] Finished creating blurred background after 0.49555322527885437 seconds
[2025-04-15 22:43:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 504,733
[2025-04-15 22:43:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 453,275
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,481
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,477
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,475
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,471
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,462
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,458
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,450
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,442
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,433
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,425
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,415
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,412
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,405
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,398
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,392
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,391
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,387
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,384
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,383
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 597,382
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,381
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,380
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,380
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,380
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,380
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 582,380
[2025-04-15 22:43:44] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 479,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 455,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 444,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 433,380
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 424,381
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 418,383
[2025-04-15 22:43:45] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,384
