[2025-04-15 22:47:37] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 22:47:37] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 22:47:37] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 22:47:37] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 22:47:37] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 22:47:37] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 22:47:37] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 22:47:37] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 22:47:37] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 22:47:37] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 22:47:37] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 22:47:37] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 22:47:37] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 22:47:37] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 22:47:37] [INFO] [Component] Setting air_dragon_Pogo_7df1c20c-6ffe-488a-878f-683518f0c89f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Pogo_7df1c20c-6ffe-488a-878f-683518f0c89f","column":5,"row":4,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit enemy:Pogo into queue
[2025-04-15 22:47:37] [INFO] [Component] Setting earth_dragon_Hado_48cb3548-4cf4-4e00-82c9-45bc0f0dcdbd on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Hado_48cb3548-4cf4-4e00-82c9-45bc0f0dcdbd","column":5,"row":3,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit enemy:Hado into queue
[2025-04-15 22:47:37] [INFO] [Component] Setting air_dragon_Jojpdc_786eb87e-a425-43ab-937f-5aa2ccb1cfb5 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Jojpdc_786eb87e-a425-43ab-937f-5aa2ccb1cfb5","column":7,"row":4,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit enemy:Jojpdc into queue
[2025-04-15 22:47:37] [INFO] [Component] Setting fire_dragon_Xudio_15ee3d55-09ad-4f11-a91b-d225217cafb3 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Xudio_15ee3d55-09ad-4f11-a91b-d225217cafb3","column":0,"row":4,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit enemy:Xudio into queue
[2025-04-15 22:47:37] [INFO] [Component] Setting fire_dragon_Daupji_75882615-a8a1-41d5-8091-0fb872d97e2a on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Daupji_75882615-a8a1-41d5-8091-0fb872d97e2a","column":7,"row":7,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit user:Daupji into queue
[2025-04-15 22:47:37] [INFO] [Component] Setting fire_dragon_Nahie_d1f652cd-75a1-4b75-b588-4246a826d2ec on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Nahie_d1f652cd-75a1-4b75-b588-4246a826d2ec","column":2,"row":0,"structure":"","height":0}.
[2025-04-15 22:47:37] [INFO] [SpeedQueue] Added unit user:Nahie into queue
[2025-04-15 22:47:37] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 22:47:38] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 22:47:38] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 22:47:38] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 22:47:38] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 22:47:38] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 22:47:38] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 22:47:38] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 22:47:38] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5b1af4f4-07c5-4ff9-b43d-2aa186efb88a
[2025-04-15 22:47:38] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 22:47:38] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 22:47:38] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 22:47:38] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 22:47:38] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 22:47:39] [INFO] [VisualsSystem] Finished creating blurred background after 0.4951876699924469 seconds
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,122
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,124
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,131
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,133
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,137
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,141
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,144
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,148
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,151
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,153
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,159
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,163
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,164
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,169
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,172
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,175
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,178
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,180
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,183
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,186
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,187
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,190
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,192
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,195
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,196
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,199
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,202
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,203
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,206
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,208
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,210
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,212
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,213
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,216
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,217
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,218
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,219
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,220
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,220
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,221
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,222
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,222
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,223
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,224
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,225
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,226
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,226
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,227
[2025-04-15 22:47:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,229
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,230
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,231
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,231
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,232
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,233
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,233
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,234
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,235
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,236
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,237
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,239
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,240
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,241
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,243
[2025-04-15 22:47:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,245
