[2025-04-15 23:15:15] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:15:15] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:15:15] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:15:15] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:15:15] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:15:15] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:15:15] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:15:15] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:15:15] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:15:16] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:15:16] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:15:16] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:15:16] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:15:16] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:15:16] [INFO] [Component] Setting earth_dragon_Yugod_ff4ccab9-dab9-4d1e-9d9d-7ab74705b680 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Yugod_ff4ccab9-dab9-4d1e-9d9d-7ab74705b680","column":7,"row":5,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit enemy:Yugod into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting earth_dragon_Cyjjad_f374db4f-924a-4c53-bbb6-66b57d7531e6 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Cyjjad_f374db4f-924a-4c53-bbb6-66b57d7531e6","column":1,"row":1,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit enemy:Cyjjad into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting dragon_Selu_ac71677c-75ef-4665-b590-6099766de3bf on to {"spawn_region":[],"collider":"","unit":"dragon_Selu_ac71677c-75ef-4665-b590-6099766de3bf","column":5,"row":0,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit enemy:Selu into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting earth_dragon_Tykh_312b1724-8944-4e07-9dad-d66e6551df92 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Tykh_312b1724-8944-4e07-9dad-d66e6551df92","column":6,"row":7,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit enemy:Tykh into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting light_dragon_Eounai_6f77f938-f844-4073-bc8c-e4dd017156fd on to {"spawn_region":[],"collider":"","unit":"light_dragon_Eounai_6f77f938-f844-4073-bc8c-e4dd017156fd","column":4,"row":7,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit enemy:Eounai into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting air_dragon_Myla_2a2fa116-65f9-45db-b9c2-da94e8717180 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Myla_2a2fa116-65f9-45db-b9c2-da94e8717180","column":6,"row":2,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit user:Myla into queue
[2025-04-15 23:15:16] [INFO] [Component] Setting fire_dragon_Regeuy_e799d5e9-bbd8-4dc0-9d2a-2ead93463172 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Regeuy_e799d5e9-bbd8-4dc0-9d2a-2ead93463172","column":6,"row":6,"structure":"","height":0}.
[2025-04-15 23:15:16] [INFO] [SpeedQueue] Added unit user:Regeuy into queue
[2025-04-15 23:15:16] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:15:16] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:15:16] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:15:16] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:15:16] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:15:16] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:15:16] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:15:16] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:15:16] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2e43dab7-a180-4e80-ab71-0c2360395036
[2025-04-15 23:15:17] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:15:17] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:15:17] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:15:17] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:15:17] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:15:17] [INFO] [VisualsSystem] Finished creating blurred background after 0.4901779890060425 seconds
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,127
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,132
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,138
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,143
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,149
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,155
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,158
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,165
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,171
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,176
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,183
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,186
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,193
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,200
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,204
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,208
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,213
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,217
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,220
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,224
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,227
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,229
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,231
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,233
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,235
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,237
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,239
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,240
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,241
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,242
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,242
[2025-04-15 23:15:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,243
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,243
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,243
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,242
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,241
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,240
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,237
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,236
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,234
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,233
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,231
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,229
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,227
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,225
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,223
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,223
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,221
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,218
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,217
[2025-04-15 23:15:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,215
