[2025-04-15 23:17:54] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:17:54] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:17:54] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:17:54] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:17:54] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:17:54] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:17:54] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:17:54] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:17:54] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:17:54] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:17:54] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:17:54] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:17:55] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:17:55] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:17:55] [INFO] [Component] Setting dark_dragon_Cyynru_23a66169-0729-47f0-a391-e6bae6c4b8ed on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Cyynru_23a66169-0729-47f0-a391-e6bae6c4b8ed","column":5,"row":2,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit enemy:Cyynru into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting fire_dragon_Vatd_35be75c6-03c3-47b3-9d23-a32afd2d037d on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Vatd_35be75c6-03c3-47b3-9d23-a32afd2d037d","column":5,"row":6,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit enemy:Vatd into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting water_dragon_Iejui_b8c1c7fa-5157-4e38-99a0-3700f57e7d9d on to {"spawn_region":[],"collider":"","unit":"water_dragon_Iejui_b8c1c7fa-5157-4e38-99a0-3700f57e7d9d","column":1,"row":3,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit enemy:Iejui into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting fire_dragon_Getrjj_45f8b94e-e1f5-4a13-922e-1ee031e2f1ad on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Getrjj_45f8b94e-e1f5-4a13-922e-1ee031e2f1ad","column":0,"row":5,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit enemy:Getrjj into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting dragon_Haxa_be915047-f85a-408c-8057-9a725e745857 on to {"spawn_region":[],"collider":"","unit":"dragon_Haxa_be915047-f85a-408c-8057-9a725e745857","column":6,"row":4,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit enemy:Haxa into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting light_dragon_Lawyq_c3db6952-aef5-4d5d-abea-5feb29eb47ec on to {"spawn_region":[],"collider":"","unit":"light_dragon_Lawyq_c3db6952-aef5-4d5d-abea-5feb29eb47ec","column":2,"row":6,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit user:Lawyq into queue
[2025-04-15 23:17:55] [INFO] [Component] Setting dragon_Zawur_44407793-1e71-448d-9095-b763ca200ef9 on to {"spawn_region":[],"collider":"","unit":"dragon_Zawur_44407793-1e71-448d-9095-b763ca200ef9","column":5,"row":3,"structure":"","height":0}.
[2025-04-15 23:17:55] [INFO] [SpeedQueue] Added unit user:Zawur into queue
[2025-04-15 23:17:55] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:17:55] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:17:55] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:17:55] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:17:55] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:17:55] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:17:55] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:17:55] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:17:55] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_e77a74cc-cc71-40f5-b617-dec62e026f97
[2025-04-15 23:17:55] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:17:55] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:17:55] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:17:55] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:17:55] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:17:56] [INFO] [VisualsSystem] Finished creating blurred background after 0.48660606145858765 seconds
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,275
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,275
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,275
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,278
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,279
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,284
[2025-04-15 23:17:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,286
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,293
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,297
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,299
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,303
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,308
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,312
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,316
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,320
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,323
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,327
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,330
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,334
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,337
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,340
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,342
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,344
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,345
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,347
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,348
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,349
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,349
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,351
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,350
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,349
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,349
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,349
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,348
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,348
[2025-04-15 23:17:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,348
