[2025-04-15 23:18:34] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:18:34] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:18:34] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:18:34] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:18:34] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:18:34] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:18:34] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:18:34] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:18:34] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:18:34] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:18:34] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:18:34] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:18:34] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:18:34] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:18:34] [INFO] [Component] Setting fire_dragon_Ficuae_ac1ab494-26b2-469b-a934-49417fa538fb on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Ficuae_ac1ab494-26b2-469b-a934-49417fa538fb","column":7,"row":6,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit enemy:Ficuae into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting light_dragon_Zarmio_f87ad186-7a6e-4b56-b593-cb9518da857c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zarmio_f87ad186-7a6e-4b56-b593-cb9518da857c","column":0,"row":0,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit enemy:Zarmio into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting fire_dragon_Rojkw_6c802285-1e68-4ac9-a3bd-79d0f5380df3 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Rojkw_6c802285-1e68-4ac9-a3bd-79d0f5380df3","column":1,"row":0,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit enemy:Rojkw into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting earth_dragon_Qoleox_7917d00b-aa36-46e8-b079-8d039aabe3b8 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Qoleox_7917d00b-aa36-46e8-b079-8d039aabe3b8","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit enemy:Qoleox into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting air_dragon_Myuck_ae9a9b60-2f3a-4bf7-811c-5d76d8a0165c on to {"spawn_region":[],"collider":"","unit":"air_dragon_Myuck_ae9a9b60-2f3a-4bf7-811c-5d76d8a0165c","column":5,"row":1,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit enemy:Myuck into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting light_dragon_Sehgo_b2634347-687c-4f78-b288-05762b9a1c70 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Sehgo_b2634347-687c-4f78-b288-05762b9a1c70","column":2,"row":2,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit user:Sehgo into queue
[2025-04-15 23:18:34] [INFO] [Component] Setting dragon_Ouayix_0d728ed5-576c-47d5-953c-362c3a09b941 on to {"spawn_region":[],"collider":"","unit":"dragon_Ouayix_0d728ed5-576c-47d5-953c-362c3a09b941","column":0,"row":6,"structure":"","height":0}.
[2025-04-15 23:18:34] [INFO] [SpeedQueue] Added unit user:Ouayix into queue
[2025-04-15 23:18:34] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:18:34] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:18:34] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:18:34] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:18:34] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:18:34] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:18:34] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:18:35] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:18:35] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_1364ee14-8e4a-45be-b75a-eff7f96a7e61
[2025-04-15 23:18:35] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:18:35] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:18:35] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:18:35] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:18:35] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:18:35] [INFO] [VisualsSystem] Finished creating blurred background after 0.4895746111869812 seconds
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,154
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,159
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,163
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,166
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,171
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,173
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,177
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,183
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,184
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,193
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,199
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,201
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,212
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,219
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,229
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,236
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,240
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,254
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,261
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,267
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,275
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,281
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,289
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,297
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,299
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,310
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,314
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,318
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,323
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,327
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,330
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,332
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,333
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,333
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,334
[2025-04-15 23:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,335
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,336
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,340
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,347
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,353
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,358
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,361
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,366
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,369
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,371
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,373
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,374
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,376
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,376
[2025-04-15 23:18:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,377
