[2025-04-15 23:21:50] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:21:50] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:21:50] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:21:50] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:21:50] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:21:50] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:21:50] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:21:50] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:21:50] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:21:50] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:21:50] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:21:50] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:21:50] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:21:50] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:21:50] [INFO] [Component] Setting dragon_Gaxil_6eda6d91-a41c-44ac-b905-17cb69b83735 on to {"spawn_region":[],"collider":"","unit":"dragon_Gaxil_6eda6d91-a41c-44ac-b905-17cb69b83735","column":4,"row":6,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit enemy:Gaxil into queue
[2025-04-15 23:21:50] [INFO] [Component] Setting light_dragon_Xuabae_052b6113-6cd6-4fcd-922e-af49b94d2a32 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Xuabae_052b6113-6cd6-4fcd-922e-af49b94d2a32","column":4,"row":5,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit enemy:Xuabae into queue
[2025-04-15 23:21:50] [INFO] [Component] Setting light_dragon_Xonz_0b3420d3-77b4-45d5-b387-8e0756ac8dc5 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Xonz_0b3420d3-77b4-45d5-b387-8e0756ac8dc5","column":3,"row":3,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit enemy:Xonz into queue
[2025-04-15 23:21:50] [INFO] [Component] Setting light_dragon_Pornao_6e8295e4-eda0-402c-bb43-848f2d7b1be6 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Pornao_6e8295e4-eda0-402c-bb43-848f2d7b1be6","column":4,"row":0,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit enemy:Pornao into queue
[2025-04-15 23:21:50] [INFO] [Component] Setting air_dragon_Viquxi_635fc747-9d06-49ee-b149-d558e48dc86a on to {"spawn_region":[],"collider":"","unit":"air_dragon_Viquxi_635fc747-9d06-49ee-b149-d558e48dc86a","column":3,"row":0,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit enemy:Viquxi into queue
[2025-04-15 23:21:50] [INFO] [Component] Setting air_dragon_Kocx_aa5fc086-7629-4765-b91c-ca7f27374cc9 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Kocx_aa5fc086-7629-4765-b91c-ca7f27374cc9","column":6,"row":2,"structure":"","height":0}.
[2025-04-15 23:21:50] [INFO] [SpeedQueue] Added unit user:Kocx into queue
[2025-04-15 23:21:50] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:21:51] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:21:51] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:21:51] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:21:51] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:21:51] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:21:51] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:21:51] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:21:51] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a373d136-17c3-440d-be1b-8e2f49f7d69b
[2025-04-15 23:21:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:21:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:21:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:21:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:21:51] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:21:52] [INFO] [VisualsSystem] Finished creating blurred background after 0.48889487981796265 seconds
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,125
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,132
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,135
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,149
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,151
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,156
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,160
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,162
[2025-04-15 23:21:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,163
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,164
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,170
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,177
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,186
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,194
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,203
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,213
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,222
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,233
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,243
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,254
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,269
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,280
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,293
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,297
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,319
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,322
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,337
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,340
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,347
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,352
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,357
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,361
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,365
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,368
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,372
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,375
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,377
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,379
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,380
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,381
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,382
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,383
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,383
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,384
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,384
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,384
[2025-04-15 23:21:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,384
