[2025-04-15 23:23:00] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:23:00] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:23:00] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:23:00] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:23:00] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:23:00] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:23:00] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:23:00] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:23:00] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:23:00] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:23:00] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:23:00] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:23:00] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:23:00] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:23:00] [INFO] [Component] Setting water_dragon_Kewey_83cf7973-60a0-4a0d-8011-577fa61325a7 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Kewey_83cf7973-60a0-4a0d-8011-577fa61325a7","column":1,"row":0,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit enemy:Kewey into queue
[2025-04-15 23:23:00] [INFO] [Component] Setting water_dragon_Paauy_b718e0f2-4633-4114-a26b-7c40837d862f on to {"spawn_region":[],"collider":"","unit":"water_dragon_Paauy_b718e0f2-4633-4114-a26b-7c40837d862f","column":3,"row":0,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit enemy:Paauy into queue
[2025-04-15 23:23:00] [INFO] [Component] Setting fire_dragon_Eytota_6c28df8e-ec47-486c-a739-7c62bc5432fd on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Eytota_6c28df8e-ec47-486c-a739-7c62bc5432fd","column":3,"row":4,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit enemy:Eytota into queue
[2025-04-15 23:23:00] [INFO] [Component] Setting fire_dragon_Uoto_c8683887-8a39-491f-96c0-1ac41857d0f4 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Uoto_c8683887-8a39-491f-96c0-1ac41857d0f4","column":0,"row":1,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit enemy:Uoto into queue
[2025-04-15 23:23:00] [INFO] [Component] Setting fire_dragon_Rohu_0590fe4e-fe78-428d-9504-80cf25754b12 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Rohu_0590fe4e-fe78-428d-9504-80cf25754b12","column":2,"row":2,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit enemy:Rohu into queue
[2025-04-15 23:23:00] [INFO] [Component] Setting fire_dragon_Xepq_d59cbb11-4b20-45c7-b976-b4ef37e9445f on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Xepq_d59cbb11-4b20-45c7-b976-b4ef37e9445f","column":0,"row":6,"structure":"","height":0}.
[2025-04-15 23:23:00] [INFO] [SpeedQueue] Added unit user:Xepq into queue
[2025-04-15 23:23:00] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:23:00] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:23:00] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:23:00] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:23:00] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:23:00] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:23:00] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:23:01] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:23:01] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_4ef2bf17-964b-4cc0-bbe4-682b6661d877
[2025-04-15 23:23:01] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:23:01] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:23:01] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:23:01] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:23:01] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:23:01] [INFO] [VisualsSystem] Finished creating blurred background after 0.4968336224555969 seconds
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,210
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,216
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,221
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,225
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,231
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,237
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,245
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,250
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,256
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,263
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,269
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,272
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,277
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,279
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,284
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,287
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,288
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,290
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,291
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,292
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,293
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,294
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,294
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,295
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,296
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,296
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,296
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,296
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,296
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,297
[2025-04-15 23:23:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,297
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,298
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,298
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,298
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,299
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,300
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,301
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,302
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,302
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,302
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,303
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,303
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,304
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 637,304
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,304
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,305
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,305
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,305
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,306
[2025-04-15 23:23:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,306
