[2025-04-15 23:24:08] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:24:08] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:24:08] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:24:08] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:24:08] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:24:08] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:24:08] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:24:08] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:24:08] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:24:08] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:24:08] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:24:08] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:24:08] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:24:08] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:24:08] [INFO] [Component] Setting earth_dragon_Yutudz_03fbf1ad-7b1b-4132-852f-2d21518208dc on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Yutudz_03fbf1ad-7b1b-4132-852f-2d21518208dc","column":3,"row":7,"structure":"","height":0}.
[2025-04-15 23:24:08] [INFO] [SpeedQueue] Added unit enemy:Yutudz into queue
[2025-04-15 23:24:08] [INFO] [Component] Setting light_dragon_Kiwf_11a49214-7ae0-4253-be82-aa289b0ec55e on to {"spawn_region":[],"collider":"","unit":"light_dragon_Kiwf_11a49214-7ae0-4253-be82-aa289b0ec55e","column":2,"row":1,"structure":"","height":0}.
[2025-04-15 23:24:08] [INFO] [SpeedQueue] Added unit enemy:Kiwf into queue
[2025-04-15 23:24:08] [INFO] [Component] Setting earth_dragon_Iipeek_4c5cfa0b-d90d-4849-9fc8-e8bb314af6fb on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Iipeek_4c5cfa0b-d90d-4849-9fc8-e8bb314af6fb","column":2,"row":5,"structure":"","height":0}.
[2025-04-15 23:24:08] [INFO] [SpeedQueue] Added unit enemy:Iipeek into queue
[2025-04-15 23:24:08] [INFO] [Component] Setting air_dragon_Falfii_2464ee4d-eb0a-4853-b0ba-b0dbcc540b02 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Falfii_2464ee4d-eb0a-4853-b0ba-b0dbcc540b02","column":5,"row":0,"structure":"","height":0}.
[2025-04-15 23:24:08] [INFO] [SpeedQueue] Added unit enemy:Falfii into queue
[2025-04-15 23:24:08] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:24:08] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:24:08] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:24:08] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:24:08] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:24:08] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:24:09] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:24:09] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:24:09] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d28fc73b-347d-43b8-b9d1-32798eda8508
[2025-04-15 23:24:09] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:24:09] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:24:09] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:24:09] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:24:09] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:24:10] [INFO] [VisualsSystem] Finished creating blurred background after 0.4846981167793274 seconds
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,178
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,183
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,187
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,192
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,197
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,202
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,206
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,213
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,217
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,222
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,226
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,231
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,235
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,241
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,243
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,251
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,256
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,259
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,266
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,271
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,277
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,279
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,289
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,292
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,296
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,299
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,304
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,307
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,309
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,313
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,316
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,319
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,321
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,323
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,325
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,327
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,329
[2025-04-15 23:24:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,330
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,330
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,333
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,339
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,344
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,353
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,360
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,367
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,374
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,377
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,387
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,388
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,393
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,398
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,399
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,402
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,404
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,404
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,405
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,405
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,406
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,406
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,407
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,408
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,408
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,408
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,409
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,410
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,411
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,412
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,414
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,415
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,417
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,419
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,421
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,424
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,426
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,430
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,433
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,435
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,437
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,439
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,441
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,443
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,444
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,445
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,446
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,447
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,449
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,449
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,450
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,451
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,452
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,453
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,453
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,454
[2025-04-15 23:24:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,455
