[2025-04-15 23:36:08] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-15 23:36:08] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-15 23:36:08] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-15 23:36:08] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-15 23:36:08] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-15 23:36:08] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-15 23:36:08] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-15 23:36:08] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-15 23:36:08] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-15 23:36:08] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-15 23:36:08] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-15 23:36:08] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-15 23:36:08] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-15 23:36:08] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-15 23:38:35] [INFO] [Component] Setting fire_dragon_Rilaea_067e3c73-8f5c-422e-9558-de19bf528f35 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Rilaea_067e3c73-8f5c-422e-9558-de19bf528f35","column":0,"row":7,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit enemy:Rilaea into queue
[2025-04-15 23:38:35] [INFO] [Component] Setting air_dragon_Eahhis_970c2094-77a4-4f88-a16e-2f0d3207fb93 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Eahhis_970c2094-77a4-4f88-a16e-2f0d3207fb93","column":6,"row":4,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit enemy:Eahhis into queue
[2025-04-15 23:38:35] [INFO] [Component] Setting dark_dragon_Aoaj_b77ba972-64a7-4441-8574-cb06d042a9ad on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Aoaj_b77ba972-64a7-4441-8574-cb06d042a9ad","column":4,"row":1,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit enemy:Aoaj into queue
[2025-04-15 23:38:35] [INFO] [Component] Setting light_dragon_Toppl_445053ad-2663-4f8e-b73b-b647ae529393 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Toppl_445053ad-2663-4f8e-b73b-b647ae529393","column":6,"row":3,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit enemy:Toppl into queue
[2025-04-15 23:38:35] [INFO] [Component] Setting dark_dragon_Kamum_f15027ee-c0b1-4e82-9b98-8e33684082f9 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Kamum_f15027ee-c0b1-4e82-9b98-8e33684082f9","column":1,"row":5,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit user:Kamum into queue
[2025-04-15 23:38:35] [INFO] [Component] Setting dark_dragon_Uifyvm_981f2c03-a7f6-4c3e-b8c4-914f9e21ff6a on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Uifyvm_981f2c03-a7f6-4c3e-b8c4-914f9e21ff6a","column":2,"row":5,"structure":"","height":0}.
[2025-04-15 23:38:35] [INFO] [SpeedQueue] Added unit user:Uifyvm into queue
[2025-04-15 23:38:35] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-15 23:38:36] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-15 23:38:36] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:38:36] [INFO] [FontPool] Started initializing FontPool
[2025-04-15 23:38:36] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-15 23:38:36] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-15 23:38:39] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-15 23:38:39] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-15 23:38:39] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_4589d7d9-169f-40a2-ae5a-42675b9ea532
[2025-04-15 23:38:39] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-15 23:38:39] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-15 23:38:39] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-15 23:38:39] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-15 23:38:39] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-15 23:38:40] [INFO] [VisualsSystem] Finished creating blurred background after 0.4896003305912018 seconds
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 510,608
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 511,607
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 512,606
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,606
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 514,605
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 515,604
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 516,603
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,602
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,601
[2025-04-15 23:38:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,601
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 520,600
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,599
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,598
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 523,596
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 523,595
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 524,594
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,593
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,591
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,590
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 529,589
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,587
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,585
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,582
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,580
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,577
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,574
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,570
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,567
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,564
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,561
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,560
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,559
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,558
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,557
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,557
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,556
[2025-04-15 23:38:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,556
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,555
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,554
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,553
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,552
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,551
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,549
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,548
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,546
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,544
[2025-04-15 23:38:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,543
